fold,minutes,cohort,arm,scope,case_count,matched_case_count,control_link_count,funding_case_observed_count,funding_control_observed_link_count,funding_common_case_count,funding_common_control_link_count,funding_coverage_complete,case_mean_net_20bp,matched_case_mean_net_20bp,matched_control_mean_net_20bp,matched_excess_mean_net_20bp,case_mean_net_40bp,matched_case_mean_net_40bp,matched_control_mean_net_40bp,matched_excess_mean_net_40bp,case_mean_net_60bp,matched_case_mean_net_60bp,matched_control_mean_net_60bp,matched_excess_mean_net_60bp,case_mean_net_notional_fee_bp,matched_case_mean_net_notional_fee_bp,matched_control_mean_net_notional_fee_bp,matched_excess_mean_net_notional_fee_bp,funding_common_case_mean_low,funding_common_control_mean_low,funding_common_excess_mean_low,funding_common_case_mean_high,funding_common_control_mean_high,funding_common_excess_mean_high
audit_pre,60,all_core,gate_box_break,portfolio_selected,173,173,517,0,0,0,0,False,-57.08404343298654,-57.08404343298654,-56.3603180459601,-0.7237253870264221,-77.08404343298653,-77.08404343298653,-76.3603180459601,-0.7237253870264221,-97.08404343298653,-97.08404343298653,-96.36031804596013,-0.7237253870264221,-57.05619939678389,-57.05619939678389,-56.379899812054454,-0.67629958472946,,,,,,
audit_pre,60,high_vol,base,portfolio_selected,176,174,517,0,0,0,0,False,10.607409548042765,12.697185589612733,-39.32819597446445,52.025381564077186,-9.392590451957238,-7.30281441038727,-59.32819597446444,52.0253815640772,-29.392590451957236,-27.302814410387274,-79.32819597446445,52.025381564077186,10.660139350793047,12.749701509447876,-39.322834464795335,52.07253597424323,,,,,,
audit_pre,60,high_vol,deriv_oi24_available,portfolio_selected,154,152,451,0,0,0,0,False,5.081258450946542,7.4007895630451115,-93.30390030475125,100.70468986779636,-14.918741549053454,-12.599210436954893,-113.30390030475127,100.70468986779638,-34.918741549053465,-32.5992104369549,-133.3039003047512,100.70468986779638,5.173041364280114,7.4928414934440335,-93.26852488078322,100.76136637422726,,,,,,
audit_pre,60,high_vol,deriv_oi24_down,portfolio_selected,98,97,288,0,0,0,0,False,-7.060194049198632,-6.103438423916594,-70.38090143840273,64.27746301448612,-27.06019404919863,-26.1034384239166,-90.38090143840273,64.27746301448613,-47.06019404919863,-46.1034384239166,-110.38090143840273,64.27746301448613,-7.058979271530417,-6.101387767203337,-70.39334236596972,64.29195459876638,,,,,,
audit_pre,60,high_vol,deriv_oi24_pos,portfolio_selected,56,55,163,0,0,0,0,False,26.32880032620063,31.217337103686706,-133.7317346690386,164.94907177272532,6.328800326200629,11.217337103686708,-153.73173466903856,164.94907177272532,-13.67119967379937,-8.782662896313292,-173.7317346690386,164.94907177272532,26.5790774769485,31.46811855313118,-133.61202858872707,165.0801471418583,,,,,,
audit_pre,60,high_vol,deriv_oi4_available,portfolio_selected,163,161,478,0,0,0,0,False,-12.311635742738986,-10.33782865794637,-70.45532803841672,60.1174993804704,-32.311635742738986,-30.337828657946364,-90.45532803841672,60.1174993804704,-52.311635742738986,-50.33782865794636,-110.45532803841672,60.1174993804704,-12.240928637058884,-10.267129384697162,-70.42763945646912,60.16051007177197,,,,,,
audit_pre,60,high_vol,deriv_oi4_pos,portfolio_selected,75,75,220,0,0,0,0,False,-34.11888435601045,-34.11888435601045,-84.13195942685952,50.01307507084909,-54.118884356010454,-54.118884356010454,-104.13195942685952,50.0130750708491,-74.11888435601045,-74.11888435601045,-124.13195942685951,50.0130750708491,-34.02340940360822,-34.02340940360822,-84.06422017700801,50.0408107733998,,,,,,
audit_pre,60,high_vol,deriv_taker55,portfolio_selected,22,21,63,0,0,0,0,False,-133.09939358840654,-134.68196044016133,-89.23523009800014,-45.446730342161196,-153.09939358840654,-154.68196044016133,-109.23523009800014,-45.44673034216118,-173.09939358840654,-174.68196044016133,-129.23523009800016,-45.446730342161175,-133.16272675976987,-134.74450635827048,-89.19914872947709,-45.54535762879338,,,,,,
audit_pre,60,high_vol,deriv_taker_available,portfolio_selected,163,161,478,0,0,0,0,False,-12.311635742738986,-10.33782865794637,-64.45177591112915,54.11394725318279,-32.311635742738986,-30.337828657946364,-84.45177591112913,54.11394725318279,-52.311635742738986,-50.33782865794636,-104.45177591112913,54.11394725318279,-12.240928637058884,-10.267129384697162,-64.40947021614697,54.14234083144982,,,,,,
audit_pre,60,high_vol,exit_chandelier,portfolio_selected,176,174,517,0,0,0,0,False,38.06154510114092,37.299040963739465,-21.01833102552425,58.31737198926371,18.06154510114093,17.29904096373946,-41.01833102552425,58.31737198926371,-1.9384548988590729,-2.7009590362605356,-61.018331025524255,58.31737198926371,38.07839907858396,37.31599588132167,-21.012137859403314,58.32813374072499,,,,,,
audit_pre,60,high_vol,exit_fixed3r,portfolio_selected,165,163,484,0,0,0,0,False,15.253462412245842,19.26397174982532,-33.19289798757849,52.45686973740381,-4.746537587754169,-0.7360282501746918,-53.19289798757849,52.45686973740381,-24.746537587754165,-20.736028250174687,-73.19289798757848,52.45686973740381,15.325781654765605,19.33802573551913,-33.175015075745144,52.51304081126426,,,,,,
audit_pre,60,high_vol,exit_sma60,portfolio_selected,176,174,517,0,0,0,0,False,-5.159036085001969,-4.470030737790061,-36.830744039783006,32.36071330199294,-25.15903608500198,-24.470030737790065,-56.830744039783006,32.36071330199294,-45.15903608500198,-44.47003073779007,-76.830744039783,32.360713301992945,-5.1675689230034285,-4.479904806155767,-36.865724754162265,32.385819948006514,,,,,,
audit_pre,60,high_vol,gate_box_break,portfolio_selected,40,39,115,0,0,0,0,False,-28.51140654166445,-23.023475364898584,13.714956317058201,-36.738431681956776,-48.51140654166445,-43.02347536489859,-6.285043682941796,-36.73843168195678,-68.51140654166446,-63.02347536489859,-26.285043682941797,-36.738431681956776,-28.488308069522873,-23.00549079661069,13.645820869830477,-36.65131166644115,,,,,,
audit_pre,60,majors,base,portfolio_selected,24,24,72,0,0,0,0,False,-93.53374501809635,-93.53374501809635,-58.513504574794005,-35.020240443302356,-113.53374501809635,-113.53374501809635,-78.513504574794,-35.02024044330236,-133.53374501809637,-133.53374501809637,-98.513504574794,-35.020240443302356,-93.49937568771156,-93.49937568771156,-58.50725842692887,-34.99211726078268,,,,,,
audit_pre,60,majors,deriv_oi24_available,portfolio_selected,23,23,69,0,0,0,0,False,-113.06659733998782,-113.06659733998782,-115.77378927587486,2.707191935887056,-133.06659733998782,-133.06659733998782,-135.77378927587486,2.707191935887056,-153.06659733998782,-153.06659733998782,-155.77378927587486,2.707191935887056,-113.01439795791734,-113.01439795791734,-115.72380084043657,2.709402882519228,,,,,,
audit_pre,60,majors,deriv_oi24_down,portfolio_selected,16,16,48,0,0,0,0,False,-143.53886151213288,-143.53886151213288,-126.71559763499103,-16.82326387714183,-163.53886151213288,-163.53886151213288,-146.715597634991,-16.823263877141837,-183.53886151213285,-183.53886151213285,-166.715597634991,-16.823263877141837,-143.4773371087439,-143.4773371087439,-126.63386942103142,-16.843467687712504,,,,,,
audit_pre,60,majors,deriv_oi24_pos,portfolio_selected,7,7,21,0,0,0,0,False,-43.4157078036563,-43.4157078036563,-90.76394159789508,47.3482337942388,-63.4157078036563,-63.4157078036563,-110.76394159789508,47.34823379423881,-83.4157078036563,-83.4157078036563,-130.7639415978951,47.34823379423881,-43.384822756028065,-43.384822756028065,-90.78650122764839,47.40167847162032,,,,,,
audit_pre,60,majors,deriv_oi4_available,portfolio_selected,23,23,69,0,0,0,0,False,-113.06659733998782,-113.06659733998782,-97.4366201901037,-15.629977149884148,-133.06659733998782,-133.06659733998782,-117.4366201901037,-15.629977149884148,-153.06659733998782,-153.06659733998782,-137.4366201901037,-15.629977149884148,-113.01439795791734,-113.01439795791734,-97.39839817138551,-15.615999786531841,,,,,,
audit_pre,60,majors,deriv_oi4_pos,portfolio_selected,18,18,54,0,0,0,0,False,-125.66056730014559,-125.66056730014559,-105.06170092850654,-20.59886637163905,-145.66056730014557,-145.66056730014557,-125.06170092850655,-20.59886637163905,-165.66056730014557,-165.66056730014557,-145.06170092850655,-20.59886637163905,-125.58111985096679,-125.58111985096679,-105.0070547651859,-20.574065085780887,,,,,,
audit_pre,60,majors,deriv_taker55,portfolio_selected,4,4,12,0,0,0,0,False,-86.1294191055073,-86.1294191055073,-60.98229102968819,-25.147128075819115,-106.1294191055073,-106.1294191055073,-80.98229102968818,-25.147128075819115,-126.1294191055073,-126.1294191055073,-100.98229102968818,-25.14712807581912,-86.06328968640179,-86.06328968640179,-60.94130873865849,-25.1219809477433,,,,,,
audit_pre,60,majors,deriv_taker_available,portfolio_selected,23,23,69,0,0,0,0,False,-113.06659733998782,-113.06659733998782,-86.8723257559034,-26.194271584084394,-133.06659733998782,-133.06659733998782,-106.8723257559034,-26.194271584084404,-153.06659733998782,-153.06659733998782,-126.87232575590342,-26.194271584084404,-113.01439795791734,-113.01439795791734,-86.82859763784344,-26.18580032007391,,,,,,
audit_pre,60,majors,exit_chandelier,portfolio_selected,24,24,72,0,0,0,0,False,-51.09158838161458,-51.09158838161458,1.6340502255338596,-52.725638607148454,-71.09158838161459,-71.09158838161459,-18.36594977446614,-52.725638607148454,-91.09158838161459,-91.09158838161459,-38.36594977446614,-52.72563860714843,-51.11057944917872,-51.11057944917872,1.6145178216765572,-52.72509727085528,,,,,,
audit_pre,60,majors,exit_fixed3r,portfolio_selected,24,24,72,0,0,0,0,False,-66.6346630622859,-66.6346630622859,-0.12792459844229143,-66.50673846384359,-86.63466306228588,-86.63466306228588,-20.127924598442295,-66.5067384638436,-106.63466306228588,-106.63466306228588,-40.1279245984423,-66.50673846384359,-66.62209692414946,-66.62209692414946,-0.13741759701473674,-66.48467932713473,,,,,,
audit_pre,60,majors,exit_sma60,portfolio_selected,24,24,72,0,0,0,0,False,-57.98202998966627,-57.98202998966627,-27.293730017856678,-30.688299971809588,-77.98202998966627,-77.98202998966627,-47.29373001785668,-30.688299971809588,-97.98202998966629,-97.98202998966629,-67.29373001785667,-30.688299971809595,-57.957454375421015,-57.957454375421015,-27.301395450802264,-30.656058924618748,,,,,,
audit_pre,60,majors,gate_box_break,portfolio_selected,4,4,12,0,0,0,0,False,58.48635463228254,58.48635463228254,-93.04995158274976,151.5363062150323,38.48635463228254,38.48635463228254,-113.04995158274974,151.53630621503228,18.48635463228254,18.48635463228254,-133.04995158274974,151.53630621503228,58.56240960180606,58.56240960180606,-92.98639918509748,151.54880878690352,,,,,,
audit_pre,60,owner_illustration,base,portfolio_selected,36,36,108,0,0,0,0,False,136.7606459118368,136.7606459118368,-113.81654845311388,250.57719436495063,116.76064591183675,116.76064591183675,-133.81654845311388,250.57719436495063,96.76064591183673,96.76064591183673,-153.8165484531139,250.57719436495063,136.52578705744938,136.52578705744938,-113.89917091712644,250.4249579745758,,,,,,
audit_pre,60,owner_illustration,deriv_oi24_available,portfolio_selected,32,32,96,0,0,0,0,False,-45.34149485359731,-45.34149485359731,-221.36884027780062,176.02734542420328,-65.3414948535973,-65.3414948535973,-241.36884027780062,176.02734542420328,-85.3414948535973,-85.3414948535973,-261.3688402778006,176.02734542420328,-45.37022276736591,-45.37022276736591,-221.36357244521525,175.99334967784935,,,,,,
audit_pre,60,owner_illustration,deriv_oi24_down,portfolio_selected,17,17,51,0,0,0,0,False,-236.46392685037983,-236.46392685037983,-185.43617173739855,-51.02775511298131,-256.46392685037983,-256.46392685037983,-205.43617173739855,-51.02775511298131,-276.46392685037983,-276.46392685037983,-225.43617173739855,-51.02775511298132,-236.44002939796925,-236.44002939796925,-185.39891200734013,-51.04111739062911,,,,,,
audit_pre,60,owner_illustration,deriv_oi24_pos,portfolio_selected,15,15,45,0,0,0,0,False,171.26392807608954,171.26392807608954,-262.09253129025626,433.3564593663458,151.26392807608954,151.26392807608954,-282.09253129025626,433.3564593663458,131.26392807608954,131.26392807608954,-302.09253129025626,433.3564593663458,171.17555808065129,171.17555808065129,-262.1235209414737,433.2990790221249,,,,,,
audit_pre,60,owner_illustration,deriv_oi4_available,portfolio_selected,32,32,96,0,0,0,0,False,-45.34149485359731,-45.34149485359731,-194.08985399914837,148.7483591455511,-65.3414948535973,-65.3414948535973,-214.08985399914837,148.7483591455511,-85.3414948535973,-85.3414948535973,-234.08985399914837,148.7483591455511,-45.37022276736591,-45.37022276736591,-194.06977432461653,148.69955155725063,,,,,,
audit_pre,60,owner_illustration,deriv_oi4_pos,portfolio_selected,15,15,45,0,0,0,0,False,89.04468912634019,89.04468912634019,-192.86307024525337,281.90775937159367,69.04468912634022,69.04468912634022,-212.86307024525337,281.90775937159367,49.04468912634021,49.04468912634021,-232.8630702452534,281.9077593715936,88.78200701650208,88.78200701650208,-192.89782707916177,281.67983409566386,,,,,,
audit_pre,60,owner_illustration,deriv_taker55,portfolio_selected,7,7,21,0,0,0,0,False,-42.60701473544831,-42.60701473544831,-168.28576293744513,125.67874820199684,-62.60701473544831,-62.60701473544831,-188.28576293744513,125.67874820199684,-82.6070147354483,-82.6070147354483,-208.28576293744518,125.67874820199684,-42.61523726086436,-42.61523726086436,-168.35510035020525,125.73986308934089,,,,,,
audit_pre,60,owner_illustration,deriv_taker_available,portfolio_selected,32,32,96,0,0,0,0,False,-45.34149485359731,-45.34149485359731,-157.78594786581368,112.44445301221637,-65.3414948535973,-65.3414948535973,-177.78594786581368,112.44445301221636,-85.3414948535973,-85.3414948535973,-197.78594786581368,112.44445301221636,-45.37022276736591,-45.37022276736591,-157.75857459252978,112.38835182516387,,,,,,
audit_pre,60,owner_illustration,exit_chandelier,portfolio_selected,36,36,108,0,0,0,0,False,199.18518779416388,199.18518779416388,24.18358950670875,175.00159828745515,179.18518779416388,179.18518779416388,4.1835895067087465,175.00159828745515,159.18518779416388,159.18518779416388,-15.81641049329125,175.00159828745515,199.02426397300258,199.02426397300258,24.112562836994872,174.91170113600774,,,,,,
audit_pre,60,owner_illustration,exit_fixed3r,portfolio_selected,33,33,99,0,0,0,0,False,-73.55632061341169,-73.55632061341169,-70.64543139176376,-2.9108892216478974,-93.55632061341169,-93.55632061341169,-90.64543139176376,-2.9108892216478974,-113.55632061341169,-113.55632061341169,-110.6454313917638,-2.9108892216478837,-73.6589627306322,-73.6589627306322,-70.67474008624376,-2.984222644388448,,,,,,
audit_pre,60,owner_illustration,exit_sma60,portfolio_selected,36,36,108,0,0,0,0,False,252.97380541101015,252.97380541101015,3.4723727493874272,249.50143266162272,232.97380541101015,232.97380541101015,-16.52762725061256,249.50143266162272,212.97380541101018,212.97380541101018,-36.52762725061256,249.50143266162272,252.6889004271211,252.6889004271211,3.4039130473942523,249.28498737972683,,,,,,
audit_pre,60,owner_illustration,gate_box_break,portfolio_selected,9,9,27,0,0,0,0,False,-131.85888829240346,-131.85888829240346,-61.64061870979645,-70.21826958260702,-151.85888829240346,-151.85888829240346,-81.64061870979646,-70.21826958260702,-171.85888829240346,-171.85888829240346,-101.64061870979646,-70.21826958260701,-131.9427117115013,-131.9427117115013,-61.67077258995035,-70.27193912155094,,,,,,
audit_pre,240,all_core,base,portfolio_selected,189,188,548,0,0,0,0,False,-66.46986231228594,-78.61439115169087,-132.17982943438736,53.565438282696505,-86.46986231228594,-98.61439115169084,-152.17982943438736,53.565438282696505,-106.46986231228591,-118.61439115169084,-172.17982943438736,53.565438282696505,-66.4005076123434,-78.53277019504918,-132.06816009850223,53.53538990345302,,,,,,
audit_pre,240,all_core,deriv_oi24_available,portfolio_selected,173,173,503,0,0,0,0,False,-81.49883509220155,-81.49883509220155,-122.44660488445322,40.94776979225166,-101.49883509220155,-101.49883509220155,-142.44660488445322,40.94776979225166,-121.49883509220155,-121.49883509220155,-162.44660488445322,40.94776979225166,-81.39620142507758,-81.39620142507758,-122.30993573397335,40.91373430889573,,,,,,
audit_pre,240,all_core,deriv_oi24_down,portfolio_selected,55,55,161,0,0,0,0,False,-67.57066258924824,-67.57066258924824,-63.275899533750554,-4.294763055497697,-87.57066258924826,-87.57066258924826,-83.27589953375053,-4.294763055497701,-107.57066258924823,-107.57066258924823,-103.27589953375053,-4.294763055497701,-67.42512184327879,-67.42512184327879,-63.1187463638666,-4.306375479412189,,,,,,
audit_pre,240,all_core,deriv_oi24_pos,portfolio_selected,118,118,342,0,0,0,0,False,-87.9907799029001,-87.9907799029001,-150.02617093774677,62.035391034846675,-107.99077990290007,-107.99077990290007,-170.0261709377468,62.035391034846675,-127.99077990290007,-127.99077990290007,-190.0261709377468,62.03539103484669,-87.90814529794993,-87.90814529794993,-149.8990494234299,61.99090412547993,,,,,,
audit_pre,240,all_core,deriv_oi4_available,portfolio_selected,173,173,503,0,0,0,0,False,-81.49883509220155,-81.49883509220155,-107.740781062519,26.241945970317477,-101.49883509220155,-101.49883509220155,-127.740781062519,26.24194597031747,-121.49883509220155,-121.49883509220155,-147.74078106251903,26.24194597031747,-81.39620142507758,-81.39620142507758,-107.62420154305192,26.228000117974297,,,,,,
audit_pre,240,all_core,deriv_oi4_pos,portfolio_selected,102,102,296,0,0,0,0,False,-104.37473652238057,-104.37473652238057,-175.93417116281918,71.55943464043865,-124.37473652238057,-124.37473652238057,-195.93417116281918,71.55943464043862,-144.3747365223806,-144.3747365223806,-215.93417116281918,71.55943464043862,-104.32880039796444,-104.32880039796444,-175.85431220397618,71.52551180601174,,,,,,
audit_pre,240,all_core,deriv_taker55,portfolio_selected,38,38,111,0,0,0,0,False,-24.96073206978147,-24.96073206978147,-52.897654237887,27.936922168105532,-44.96073206978147,-44.96073206978147,-72.89765423788701,27.936922168105518,-64.96073206978149,-64.96073206978149,-92.897654237887,27.936922168105518,-24.851448131801302,-24.851448131801302,-52.85979406915295,28.00834593735163,,,,,,
audit_pre,240,all_core,deriv_taker_available,portfolio_selected,173,173,503,0,0,0,0,False,-81.49883509220155,-81.49883509220155,-105.7757189354046,24.27688384320304,-101.49883509220155,-101.49883509220155,-125.7757189354046,24.27688384320304,-121.49883509220155,-121.49883509220155,-145.77571893540457,24.27688384320304,-81.39620142507758,-81.39620142507758,-105.65304574894144,24.256844323863845,,,,,,
audit_pre,240,all_core,exit_chandelier,portfolio_selected,189,188,548,0,0,0,0,False,-86.98870751029807,-106.57487754896552,-94.22734177486353,-12.347535774101999,-106.98870751029807,-126.57487754896552,-114.2273417748635,-12.347535774101999,-126.98870751029808,-146.57487754896553,-134.2273417748635,-12.347535774101999,-87.02018328364024,-106.58729089950761,-94.19027237022972,-12.397018529277869,,,,,,
audit_pre,240,all_core,exit_fixed3r,portfolio_selected,186,185,539,0,0,0,0,False,-89.5472100427654,-97.3951701435326,-124.16771685425817,26.772546710725567,-109.54721004276543,-117.3951701435326,-144.16771685425817,26.772546710725575,-129.5472100427654,-137.3951701435326,-164.16771685425817,26.772546710725575,-89.55106385837288,-97.39157276134007,-124.09342883907591,26.701856077735844,,,,,,
audit_pre,240,all_core,exit_sma60,portfolio_selected,189,188,548,0,0,0,0,False,-87.66009042746056,-102.29225768042404,-113.37675373063456,11.084496050210525,-107.66009042746057,-122.29225768042403,-133.37675373063456,11.084496050210525,-127.66009042746053,-142.29225768042403,-153.37675373063453,11.084496050210515,-87.64859536051361,-102.26642919634904,-113.29269821800237,11.026269021653313,,,,,,
audit_pre,240,all_core,signal5,portfolio_selected,243,242,708,0,0,0,0,False,-75.98617050719946,-85.46008674688142,-52.048410129907914,-33.41167661697349,-95.98617050719945,-105.4600867468814,-72.04841012990792,-33.4116766169735,-115.98617050719946,-125.46008674688142,-92.04841012990791,-33.4116766169735,-75.89321487517054,-85.3575044322429,-51.865210977036064,-33.4922934552068,,,,,,
audit_pre,240,high_vol,base,portfolio_selected,36,35,100,0,0,0,0,False,-171.18129704078865,-157.68532085080096,-147.89094887786715,-9.794371972933783,-191.18129704078865,-177.68532085080096,-167.89094887786715,-9.794371972933783,-211.18129704078865,-197.68532085080093,-187.89094887786715,-9.794371972933783,-171.0461899409412,-157.52853810628096,-147.7562659796516,-9.772272126629398,,,,,,
audit_pre,240,high_vol,deriv_oi24_available,portfolio_selected,31,31,90,0,0,0,0,False,-134.25210786688632,-134.25210786688632,-75.82227727822045,-58.429830588665865,-154.25210786688635,-154.25210786688635,-95.82227727822045,-58.429830588665865,-174.25210786688635,-174.25210786688635,-115.82227727822045,-58.42983058866588,-134.0842975522963,-134.0842975522963,-75.60546541491787,-58.47883213737844,,,,,,
audit_pre,240,high_vol,deriv_oi24_down,portfolio_selected,6,6,17,0,0,0,0,False,463.29339917709245,463.29339917709245,338.1004617867086,125.19293739038386,443.29339917709245,443.29339917709245,318.1004617867086,125.19293739038386,423.2933991770924,423.2933991770924,298.10046178670865,125.19293739038385,463.93792141724424,463.93792141724424,338.6133910038079,125.3245304134363,,,,,,
audit_pre,240,high_vol,deriv_oi24_pos,portfolio_selected,25,25,73,0,0,0,0,False,-277.66302955744123,-277.66302955744123,-175.1637346538034,-102.49929490363779,-297.66302955744123,-297.66302955744123,-195.1637346538034,-102.49929490363779,-317.66302955744123,-317.66302955744123,-215.1637346538034,-102.4992949036378,-277.6096301049861,-277.6096301049861,-175.01799095541207,-102.59163914957398,,,,,,
audit_pre,240,high_vol,deriv_oi4_available,portfolio_selected,31,31,90,0,0,0,0,False,-134.25210786688632,-134.25210786688632,-136.66916131602306,2.417053449136787,-154.25210786688635,-154.25210786688635,-156.66916131602306,2.417053449136787,-174.25210786688635,-174.25210786688635,-176.66916131602306,2.4170534491368016,-134.0842975522963,-134.0842975522963,-136.58514847419588,2.5008509218995525,,,,,,
audit_pre,240,high_vol,deriv_oi4_pos,portfolio_selected,14,14,41,0,0,0,0,False,-458.31208745458423,-458.31208745458423,-390.94033264357137,-67.37175481101283,-478.31208745458423,-478.31208745458423,-410.94033264357137,-67.37175481101283,-498.31208745458423,-498.31208745458423,-430.94033264357137,-67.37175481101283,-458.47713854754204,-458.47713854754204,-391.15607338081554,-67.32106516672653,,,,,,
audit_pre,240,high_vol,deriv_taker55,portfolio_selected,3,3,9,0,0,0,0,False,1105.027911544861,1105.027911544861,705.3695610908347,399.6583504540262,1085.027911544861,1085.027911544861,685.3695610908347,399.6583504540262,1065.027911544861,1065.027911544861,665.3695610908347,399.6583504540262,1106.1529394564056,1106.1529394564056,706.0949306519256,400.0580088044801,,,,,,
audit_pre,240,high_vol,deriv_taker_available,portfolio_selected,31,31,90,0,0,0,0,False,-134.25210786688632,-134.25210786688632,-52.63204881921593,-81.62005904767042,-154.25210786688635,-154.25210786688635,-72.63204881921592,-81.62005904767042,-174.25210786688635,-174.25210786688635,-92.63204881921598,-81.62005904767041,-134.0842975522963,-134.0842975522963,-52.45443292566366,-81.62986462663261,,,,,,
audit_pre,240,high_vol,exit_chandelier,portfolio_selected,36,35,100,0,0,0,0,False,-136.45047148434847,-132.01346494948157,-104.09823745453946,-27.915227494942116,-156.4504714843485,-152.01346494948157,-124.09823745453946,-27.915227494942116,-176.4504714843485,-172.01346494948157,-144.09823745453946,-27.915227494942116,-136.4678184501214,-132.02354337998503,-104.07484691304273,-27.948696466942256,,,,,,
audit_pre,240,high_vol,exit_fixed3r,portfolio_selected,36,35,100,0,0,0,0,False,-55.563817641470905,-38.764484897216995,-115.31735998027398,76.55287508305693,-75.56381764147089,-58.764484897216995,-135.31735998027398,76.55287508305693,-95.56381764147089,-78.764484897217,-155.31735998027398,76.55287508305693,-55.72468692764127,-38.91213500688681,-115.32222214618523,76.41008713929844,,,,,,
audit_pre,240,high_vol,exit_sma60,portfolio_selected,36,35,100,0,0,0,0,False,-161.11251804925234,-147.32886245950652,-91.34479220546974,-55.984070254036766,-181.11251804925237,-167.32886245950652,-111.34479220546977,-55.98407025403675,-201.11251804925237,-187.3288624595065,-131.34479220546976,-55.984070254036745,-160.9916763815446,-147.18675273090167,-91.1926185761231,-55.994134154778614,,,,,,
audit_pre,240,high_vol,signal5,portfolio_selected,51,50,144,0,0,0,0,False,-147.05285842542122,-137.12310632012247,-145.44688954467895,8.323783224556491,-167.05285842542122,-157.12310632012245,-165.44688954467892,8.323783224556491,-187.05285842542122,-177.12310632012242,-185.4468895446789,8.323783224556491,-146.86170483796505,-136.91565885164337,-145.28171632747467,8.366057475831248,,,,,,
audit_pre,240,majors,base,portfolio_selected,10,10,30,0,0,0,0,False,-148.2117660213682,-148.2117660213682,-191.65837345346057,43.446607432092364,-168.2117660213682,-168.2117660213682,-211.65837345346057,43.446607432092364,-188.2117660213682,-188.2117660213682,-231.65837345346057,43.446607432092364,-148.22547139295406,-148.22547139295406,-191.60476311626968,43.379291723315575,,,,,,
audit_pre,240,majors,deriv_oi24_available,portfolio_selected,8,8,24,0,0,0,0,False,-190.6233266096702,-190.6233266096702,-286.9138903515359,96.29056374186567,-210.6233266096702,-210.6233266096702,-306.9138903515358,96.29056374186567,-230.6233266096702,-230.6233266096702,-326.9138903515358,96.29056374186567,-190.63009970506957,-190.63009970506957,-286.7770074290399,96.14690772397032,,,,,,
audit_pre,240,majors,deriv_oi24_down,portfolio_selected,2,2,6,0,0,0,0,False,-10.460653598663981,-10.460653598663981,-316.19586629444876,305.7352126957848,-30.46065359866398,-30.46065359866398,-336.19586629444876,305.7352126957848,-50.46065359866398,-50.46065359866398,-356.19586629444876,305.7352126957848,-10.470192945065321,-10.470192945065321,-315.89967042815437,305.42947748308904,,,,,,
audit_pre,240,majors,deriv_oi24_pos,portfolio_selected,6,6,18,0,0,0,0,False,-250.67755094667226,-250.67755094667226,-277.15323170389814,26.47568075722595,-270.6775509466723,-270.6775509466723,-297.15323170389814,26.47568075722595,-290.6775509466723,-290.6775509466723,-317.15323170389814,26.47568075722594,-250.6834019584043,-250.6834019584043,-277.0694530960017,26.38605113759741,,,,,,
audit_pre,240,majors,deriv_oi4_available,portfolio_selected,8,8,24,0,0,0,0,False,-190.6233266096702,-190.6233266096702,-249.3425518836925,58.71922527402232,-210.6233266096702,-210.6233266096702,-269.3425518836925,58.71922527402232,-230.6233266096702,-230.6233266096702,-289.3425518836925,58.719225274022335,-190.63009970506957,-190.63009970506957,-249.24334028217254,58.61324057710298,,,,,,
audit_pre,240,majors,deriv_oi4_pos,portfolio_selected,5,5,15,0,0,0,0,False,-219.57586260846762,-219.57586260846762,-283.6563816904513,64.08051908198374,-239.57586260846762,-239.57586260846762,-303.6563816904513,64.08051908198374,-259.5758626084677,-259.5758626084677,-323.6563816904513,64.08051908198374,-219.50564662401857,-219.50564662401857,-283.4583956469587,63.95274902294013,,,,,,
audit_pre,240,majors,deriv_taker_available,portfolio_selected,8,8,24,0,0,0,0,False,-190.6233266096702,-190.6233266096702,-229.8774168564558,39.25409024678561,-210.6233266096702,-210.6233266096702,-249.87741685645577,39.254090246785616,-230.6233266096702,-230.6233266096702,-269.87741685645574,39.254090246785616,-190.63009970506957,-190.63009970506957,-229.7987244208221,39.168624715752514,,,,,,
audit_pre,240,majors,exit_chandelier,portfolio_selected,10,10,30,0,0,0,0,False,-98.15627916560474,-98.15627916560474,-87.37886584722541,-10.777413318379349,-118.15627916560474,-118.15627916560474,-107.37886584722541,-10.777413318379349,-138.15627916560476,-138.15627916560476,-127.3788658472254,-10.77741331837936,-98.11424001231403,-98.11424001231403,-87.3987100576047,-10.715529954709336,,,,,,
audit_pre,240,majors,exit_fixed3r,portfolio_selected,9,9,27,0,0,0,0,False,67.92151518052005,67.92151518052005,-176.59834079542932,244.51985597594933,47.92151518052004,47.92151518052004,-196.59834079542932,244.51985597594933,27.92151518052004,27.92151518052004,-216.59834079542932,244.51985597594933,67.74777455586448,67.74777455586448,-176.52098311510628,244.26875767097079,,,,,,
audit_pre,240,majors,exit_sma60,portfolio_selected,10,10,30,0,0,0,0,False,-131.10558903773858,-131.10558903773858,-178.76268411101972,47.65709507328113,-151.10558903773858,-151.10558903773858,-198.76268411101972,47.65709507328113,-171.10558903773858,-171.10558903773858,-218.76268411101972,47.65709507328113,-131.08916188640268,-131.08916188640268,-178.71990056741012,47.6307386810074,,,,,,
