signal_i,entry_i,exit_i,side,entry_price,initial_risk,initial_stop,exit_price,exit_reason,tp_i,tp_price,partial,gross_r,net_r,tail_price_r,gross_pnl,fees,net_pnl,censored,ambiguous_bar_count,entry_open_beyond_target,same_open_be_approximation,marketable_be_approximation,signal_time,entry_time,exit_time,signal_close,month,hold_hours
315,316,397,-1,2327.6,69.82799999999999,2397.428,2397.428,initial_stop,,,False,-0.9999999999999998,-1.0676666666666663,-0.9999999999999998,-69.82799999999997,4.725028,-74.55302799999997,False,0,False,False,False,2024-01-01T18:15:00+00:00,2024-01-01T18:20:00+00:00,2024-01-02T01:05:00+00:00,2024-01-01T18:20:00+00:00,2024-01,6.833333333333333
486,487,808,-1,2424.0,72.72,2496.72,2336.08,opposite_signal_close,,,False,1.20902090209021,1.1435632563256335,1.20902090209021,87.92000000000007,4.76008,83.15992000000007,False,0,False,False,False,2024-01-02T08:30:00+00:00,2024-01-02T08:35:00+00:00,2024-01-03T11:20:00+00:00,2024-01-02T08:35:00+00:00,2024-01,26.833333333333332
808,809,816,1,2336.09,70.0827,2266.0073,2266.0073,initial_stop,,,False,-0.999999999999999,-1.0656666666666657,-0.999999999999999,-70.08269999999993,4.6020973000000005,-74.68479729999993,False,0,False,False,False,2024-01-03T11:20:00+00:00,2024-01-03T11:25:00+00:00,2024-01-03T12:00:00+00:00,2024-01-03T11:25:00+00:00,2024-01,0.6666666666666666
1168,1169,2094,-1,2285.5,68.565,2354.065,2212.26,opposite_signal_close,,,False,1.0681834755341615,1.002584992343029,1.0681834755341615,73.23999999999978,4.4977599999999995,68.74223999999978,False,0,False,False,False,2024-01-04T17:20:00+00:00,2024-01-04T17:25:00+00:00,2024-01-07T22:30:00+00:00,2024-01-04T17:25:00+00:00,2024-01,77.16666666666667
2094,2095,2328,1,2212.25,66.36749999999999,2145.8825,2316.15,opposite_signal_close,,,False,1.565525294760238,1.4972931027988112,1.565525294760238,103.90000000000009,4.5283999999999995,99.37160000000009,False,0,False,False,False,2024-01-07T22:30:00+00:00,2024-01-07T22:35:00+00:00,2024-01-08T18:00:00+00:00,2024-01-07T22:35:00+00:00,2024-01,19.5
2328,2329,2575,-1,2315.81,69.4743,2385.2843,2257.0,opposite_signal_close,,,False,0.8465000726887488,0.7806799060947709,0.8465000726887488,58.809999999999945,4.5728100000000005,54.23718999999994,False,0,False,False,False,2024-01-08T18:00:00+00:00,2024-01-08T18:05:00+00:00,2024-01-09T14:35:00+00:00,2024-01-08T18:05:00+00:00,2024-01,20.583333333333332
2575,2576,2691,1,2257.01,67.7103,2189.2997,2362.06,opposite_signal_close,,,False,1.5514626282855004,1.4832444989905484,1.5514626282855004,105.04999999999973,4.619070000000001,100.43092999999973,False,0,False,False,False,2024-01-09T14:35:00+00:00,2024-01-09T14:40:00+00:00,2024-01-10T00:15:00+00:00,2024-01-09T14:40:00+00:00,2024-01,9.666666666666666
2691,2692,2870,-1,2362.05,70.8615,2432.9115,2432.9115,initial_stop,,,False,-0.9999999999999996,-1.0676666666666663,-0.9999999999999996,-70.86149999999998,4.794961500000001,-75.65646149999998,False,0,False,False,False,2024-01-10T00:15:00+00:00,2024-01-10T00:20:00+00:00,2024-01-10T15:10:00+00:00,2024-01-10T00:20:00+00:00,2024-01,14.916666666666666
2872,2873,2941,-1,2428.79,72.8637,2501.6537,2501.6537,initial_stop,,,False,-0.9999999999999984,-1.067666666666665,-0.9999999999999984,-72.86369999999988,4.9304437,-77.79414369999988,False,0,False,False,False,2024-01-10T15:20:00+00:00,2024-01-10T15:25:00+00:00,2024-01-10T21:05:00+00:00,2024-01-10T15:25:00+00:00,2024-01,5.75
2942,2943,2966,-1,2516.75,75.5025,2592.2525,2592.2525,initial_stop,,,False,-1.0000000000000007,-1.0676666666666674,-1.0000000000000007,-75.50250000000005,5.109002500000001,-80.61150250000006,False,0,False,False,False,2024-01-10T21:10:00+00:00,2024-01-10T21:15:00+00:00,2024-01-10T23:10:00+00:00,2024-01-10T21:15:00+00:00,2024-01,2.0
