event_id,symbol,fold,minutes,policy,kept,net_bp,signal_i,near_zero_bars,contraction_ratio,proximity_atr,separation_delta
ORDI_15_1701362700,ORDI,development,15,P00,True,14769.005417764303,18556,14,0.6502455282308152,0.0,0.24692481743272832
CFX_15_1674649800,CFX,development,15,P00,True,11551.658615136876,37142,24,0.5303498142794801,0.08789112773789212,0.41424939113544834
CFX_15_1678647600,CFX,development,15,P00,True,10863.291240196726,41584,23,0.6810038653057043,0.4953768214900647,0.23517493850352353
XLM_15_1732216500,XLM,development,15,P00,True,10594.857051716574,101098,22,1.144774815617493,0.2991200799845615,0.3385366485652005
APE_15_1729368900,APE,development,15,P00,True,10279.96000533262,90941,27,0.5549894707833273,0.2399458192708705,0.17050855482964275
HBAR_15_1733030100,HBAR,development,15,P00,True,8435.49437944483,45406,70,0.3691795268718514,0.0,0.36272200958620066
DOGE_15_1731104100,DOGE,development,15,P00,True,8017.62789118945,99869,22,0.833637658767568,0.13421414260751216,0.6868907576207561
CFX_15_1676787300,CFX,development,15,P00,True,7704.874070520511,39517,17,0.5208413899517088,0.1032569112578291,0.46053337798405436
GALA_15_1673187300,GALA,development,15,P00,True,7083.5598705501625,35515,25,0.6955188115022919,0.0,0.3892015346045925
ORDI_15_1699336800,ORDI,development,15,P00,True,6408.4760251101925,16305,13,0.9481368944743079,0.03232111222568182,0.19342931040614728
SHIB_15_1709299800,SHIB,development,15,P00,True,5709.073577599049,75637,12,0.9370449799650071,0.0,0.28157685460481535
XRP_15_1689245100,XRP,development,15,P00,True,5347.201839701259,53352,26,0.5808755185781174,0.0,0.1298800066070733
BCH_15_1709331300,BCH,development,15,P00,True,5130.93740069908,75680,19,0.8729545454545377,0.22585695068167538,0.22433998365562183
FIL_15_1676385900,FIL,development,15,P00,True,4852.204472843451,39069,15,1.0222316786927315,0.0,0.34609804221782703
BCH_15_1687483800,BCH,development,15,P00,True,4247.755219998555,51405,30,0.8750493508023012,0.0,0.3393765481268999
WLD_15_1694709900,WLD,development,15,P00,True,4228.385202583676,5012,12,1.557761568719223,0.44878573199434413,0.13522674938128232
ICP_15_1711198800,ICP,development,15,P00,True,3957.8188539741222,77750,35,0.7747213574407162,0.2127723983483936,0.22192309253173237
CRV_15_1733195700,CRV,development,15,P00,True,3919.432824329527,102193,13,1.1664615062880888,0.20618799432937482,0.3763547026480938
SUI_15_1723087800,SUI,development,15,P00,True,3917.4611076540123,44255,19,0.7862182103665708,0.9431640375378687,0.4266437672911459
AAVE_15_1730818800,AAVE,development,15,P00,True,3789.9204846648995,99555,17,1.0161699269316284,0.08949482022006919,0.3206704311408309
ARB_15_1681362900,ARB,development,15,P00,True,3756.030776950741,1981,17,1.535380551757685,0.5626353961725098,0.09421836704638747
SHIB_15_1709497800,SHIB,development,15,P00,True,3734.6788280342457,75857,34,0.6728235727686744,0.23370963448158777,0.3358622483755698
WLD_15_1709919000,WLD,development,15,P00,True,3723.386243386244,21911,12,1.7709906385406693,0.41446686328266097,0.11848934281394657
OP_15_1678645800,OP,development,15,P00,True,3614.4432149683125,27323,49,0.5411684012641542,0.2388061350941693,0.4816422819007112
SOL_15_1672640100,SOL,development,15,P00,True,3416.0924832349115,34904,15,1.9095205074098383,0.7352349561984279,0.21343366269006359
TIA_15_1732318200,TIA,development,15,P00,True,3385.898876404496,37269,17,0.7522217450792988,0.7478622786374951,0.410346070958154
AAVE_15_1733908500,AAVE,development,15,P00,True,3308.121591157007,102988,46,0.38905591813313684,1.0068886971717674,0.16474196401574498
SOL_15_1673639100,SOL,development,15,P00,True,3236.1252400628528,36014,21,0.9177532775009752,0.23442630992756192,0.299902664008458
ADA_15_1731185100,ADA,development,15,P00,True,3184.519774011301,99962,25,0.8194365951068354,0.368699823903259,0.1576757563901318
ORDI_15_1712910600,ORDI,development,15,P00,True,3143.457749254067,31387,17,0.8839214997923606,0.1894099766847031,0.2617528793389797
LINK_15_1697867100,LINK,development,15,P00,True,3099.097586568731,62936,13,0.7890391222431588,0.2112375070193945,0.1925566535541527
ADA_15_1732227300,ADA,development,15,P00,True,3059.5933548227117,101120,32,0.42862568498725373,0.10361330797331858,0.25843304944597134
