bar,step,family,value_json,params_json,distance_from_initial,candidate_rows,decision_rows,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,tp,sl,protected_stop,timeout,minimum_fold_events,eligible,robust_score_bp,worst_fold_net_bp,2023H1_events,2023H1_mean_net_bp,2023H2_events,2023H2_mean_net_bp,2024H1_events,2024H1_mean_net_bp,2024H2_events,2024H2_mean_net_bp
5m,1,ma_period,40,"{""gap_max_bars"":8,""gap_min_bars"":2,""ma_period"":40,""score_floor"":0.4}",0.0,7317,7317,650,0.30361720717369833,-19.696382792826306,-37.987724753449896,0.3476923076923077,0.3124550327508906,-0.9965249254329634,-0.9965249254329634,114,417,119,0,92,True,-20.91451569498525,-21.914431348988312,151,-21.914431348988312,92,-18.2122806452488,201,-16.87917489091778,206,-21.482163636905344
5m,1,ma_period,120,"{""gap_max_bars"":8,""gap_min_bars"":2,""ma_period"":120,""score_floor"":0.4}",80.0,4353,4353,391,-0.3329823701908043,-20.332982370190813,-38.43983743402333,0.3145780051150895,0.3295203036426831,-0.9718461366942428,-0.9718461366942428,73,265,52,1,52,True,-21.475819146242046,-21.503062205781447,91,-20.512945453928605,52,-21.280549206124256,121,-18.562319104003294,127,-21.503062205781447
5m,1,ma_period,240,"{""gap_max_bars"":8,""gap_min_bars"":2,""ma_period"":240,""score_floor"":0.4}",200.0,2769,2769,275,1.8856798352576314,-18.11432016474237,-38.52577576685999,0.3527272727272727,0.41145283117712333,-0.8784601171147489,-0.8784601171147489,53,176,46,0,32,False,-21.896108668816815,-29.422349727861057,56,-29.422349727861057,32,-23.260841101134815,93,-13.778867068492858,94,-13.91494582912535
5m,1,ma_period,480,"{""gap_max_bars"":8,""gap_min_bars"":2,""ma_period"":480,""score_floor"":0.4}",440.0,2101,2101,219,0.3967356272189327,-19.603264372781073,-38.009182513301084,0.3378995433789954,0.34896705098918407,-0.848815568858255,-0.8546612392777813,41,144,34,0,26,False,-19.44872426199812,-24.197477324922126,57,-16.529805286370905,26,-17.387698989025907,69,-18.516012200455897,67,-24.197477324922126
5m,2,gap_window,"[2,8]","{""gap_max_bars"":8,""gap_min_bars"":2,""ma_period"":40,""score_floor"":0.4}",0.0,7317,7317,650,0.30361720717369833,-19.696382792826306,-37.987724753449896,0.3476923076923077,0.3124550327508906,-0.9965249254329634,-0.9965249254329634,114,417,119,0,92,True,-20.91451569498525,-21.914431348988312,151,-21.914431348988312,92,-18.2122806452488,201,-16.87917489091778,206,-21.482163636905344
5m,2,gap_window,"[6,24]","{""gap_max_bars"":24,""gap_min_bars"":6,""ma_period"":40,""score_floor"":0.4}",20.0,9343,9343,755,2.6821426984126413,-17.317857301587363,-37.26734624236448,0.3827814569536424,0.3549744231155662,-0.9971106401265801,-0.9971106401265801,141,454,158,2,114,True,-17.6843960795863,-21.06814222464793,180,-21.06814222464793,114,-16.264488351127824,227,-16.91190811344184,234,-15.34000789949557
5m,2,gap_window,"[12,48]","{""gap_max_bars"":48,""gap_min_bars"":12,""ma_period"":40,""score_floor"":0.4}",50.0,12203,12203,903,2.454445301439024,-17.545554698560984,-37.709946630836136,0.3709856035437431,0.3670493067103254,-0.9992819738693898,-0.9992819738693898,164,557,182,0,144,True,-18.77735832023509,-23.30295789602407,212,-23.30295789602407,144,-17.73708704922233,252,-13.949867203813685,295,-16.386107621675926
5m,2,gap_window,"[24,96]","{""gap_max_bars"":96,""gap_min_bars"":24,""ma_period"":40,""score_floor"":0.4}",110.0,14790,14790,1026,0.6914333399326819,-19.308566660067324,-38.08750193285857,0.34502923976608185,0.3330242503791575,-0.9998913746121889,-0.9998934504629379,173,664,189,0,159,True,-21.028264462223277,-22.730722057730425,237,-21.75749028827227,159,-22.730722057730425,295,-17.11197286504649,335,-17.88611161952446
5m,3,score_floor,0.4,"{""gap_max_bars"":24,""gap_min_bars"":6,""ma_period"":40,""score_floor"":0.4}",0.0,9343,9343,755,2.6821426984126413,-17.317857301587363,-37.26734624236448,0.3827814569536424,0.3549744231155662,-0.9971106401265801,-0.9971106401265801,141,454,158,2,114,True,-17.6843960795863,-21.06814222464793,180,-21.06814222464793,114,-16.264488351127824,227,-16.91190811344184,234,-15.34000789949557
5m,3,score_floor,0.45,"{""gap_max_bars"":24,""gap_min_bars"":6,""ma_period"":40,""score_floor"":0.45}",0.04999999999999999,9123,9123,744,2.7571220200765962,-17.242877979923406,-37.26409202843837,0.38306451612903225,0.354869188083373,-0.9969510537809211,-0.9969510537809211,138,447,157,2,112,True,-17.578299802222816,-21.27318863980948,177,-21.27318863980948,112,-16.208242361571074,221,-16.627744424131993,234,-15.270479340117982
5m,3,score_floor,0.5,"{""gap_max_bars"":24,""gap_min_bars"":6,""ma_period"":40,""score_floor"":0.5}",0.09999999999999998,8705,8705,734,2.3739443162231333,-17.626055683776872,-37.26409202843837,0.38283378746594005,0.3415484335776653,-0.9969515900774926,-0.9969515900774926,134,442,156,2,111,True,-18.349920563167945,-21.350020274652596,174,-21.350020274652596,111,-17.18610003085835,218,-17.315108551714278,231,-15.325846651098196
5m,3,score_floor,0.55,"{""gap_max_bars"":24,""gap_min_bars"":6,""ma_period"":40,""score_floor"":0.55}",0.15000000000000002,7937,7937,694,2.8915375409235713,-17.10846245907643,-37.269727047052875,0.38904899135446686,0.3562652880951404,-0.9953372936397377,-0.9953372936397377,124,413,155,2,104,True,-17.641064380436386,-18.913361565647847,160,-18.913361565647847,104,-16.648380875723657,210,-17.45131422148133,220,-15.686034084132048
5m,3,score_floor,0.6,"{""gap_max_bars"":24,""gap_min_bars"":6,""ma_period"":40,""score_floor"":0.6}",0.19999999999999996,6777,6777,641,2.2915235763006625,-17.70847642369934,-37.42393283055366,0.3790951638065523,0.34667396719064997,-0.9936758586620943,-0.9936824814485756,116,388,135,2,98,True,-18.968313049693222,-19.844864512281855,148,-19.844864512281855,98,-16.804221328585456,190,-19.249292917054767,205,-15.170312660155044
5m,3,score_floor,0.65,"{""gap_max_bars"":24,""gap_min_bars"":6,""ma_period"":40,""score_floor"":0.65}",0.25,5358,5358,571,1.326652282707543,-18.67334771729246,-37.47580363042789,0.37478108581436076,0.32459526528804794,-0.9905508421824416,-0.9905607375581631,100,350,120,1,88,True,-21.582294233595075,-23.18135883089975,130,-23.18135883089975,88,-20.251278514089247,171,-19.54269986747903,182,-13.873575340539897
5m,3,score_floor,0.7,"{""gap_max_bars"":24,""gap_min_bars"":6,""ma_period"":40,""score_floor"":0.7}",0.29999999999999993,3744,3744,457,1.1095313308997212,-18.890468669100287,-37.47580363042789,0.36542669584245074,0.3151351495356018,-0.9801022867983702,-0.9804886659446733,73,283,100,1,71,True,-21.235332536796523,-21.627492731277954,106,-21.627492731277954,71,-20.545084400162818,139,-19.547845600749206,141,-15.351620009557916
