event_key,timeframe,lower_timeframe,signal_i,side,signal_bar_open,entry_time,rv,volatility
ETH_3m_1784118600000_1,3m,1m,1130,1,2026-07-15 12:30:00+00:00,2026-07-15 12:33:00+00:00,17.6120713832577,0.0015719212734545617
ETH_3m_1784158920000_-1,3m,1m,1354,-1,2026-07-15 23:42:00+00:00,2026-07-15 23:45:00+00:00,8.05610824483487,0.001184944904858086
ETH_3m_1784161440000_-1,3m,1m,1368,-1,2026-07-16 00:24:00+00:00,2026-07-16 00:27:00+00:00,1.7227841147427554,0.0013539702162771842
ETH_3m_1784164680000_-1,3m,1m,1386,-1,2026-07-16 01:18:00+00:00,2026-07-16 01:21:00+00:00,2.99154491064489,0.001519802738066829
ETH_3m_1784173680000_-1,3m,1m,1436,-1,2026-07-16 03:48:00+00:00,2026-07-16 03:51:00+00:00,3.057173087863231,0.001180238944977653
ETH_3m_1784175660000_-1,3m,1m,1447,-1,2026-07-16 04:21:00+00:00,2026-07-16 04:24:00+00:00,2.3213884524639288,0.001099667158121463
ETH_3m_1784178900000_1,3m,1m,1465,1,2026-07-16 05:15:00+00:00,2026-07-16 05:18:00+00:00,3.8509314177437384,0.0010508135150347707
ETH_3m_1784183760000_-1,3m,1m,1492,-1,2026-07-16 06:36:00+00:00,2026-07-16 06:39:00+00:00,6.616517472239719,0.0012615620669425818
ETH_3m_1784187180000_-1,3m,1m,1511,-1,2026-07-16 07:33:00+00:00,2026-07-16 07:36:00+00:00,3.7267603428067115,0.0010697715456613962
ETH_3m_1784340900000_1,3m,1m,2365,1,2026-07-18 02:15:00+00:00,2026-07-18 02:18:00+00:00,2.1690239497713044,0.0007194366505400917
ETH_3m_1784347020000_1,3m,1m,2399,1,2026-07-18 03:57:00+00:00,2026-07-18 04:00:00+00:00,4.321966673943619,0.0006481804523259555
ETH_3m_1784352240000_1,3m,1m,2428,1,2026-07-18 05:24:00+00:00,2026-07-18 05:27:00+00:00,3.4483786998653327,0.0005809407087435612
ETH_3m_1784366280000_-1,3m,1m,2506,-1,2026-07-18 09:18:00+00:00,2026-07-18 09:21:00+00:00,3.2067518271679756,0.0005272057261242372
ETH_3m_1784376360000_1,3m,1m,2562,1,2026-07-18 12:06:00+00:00,2026-07-18 12:09:00+00:00,22.181091160608297,0.0005318783848092599
ETH_3m_1784377080000_-1,3m,1m,2566,-1,2026-07-18 12:18:00+00:00,2026-07-18 12:21:00+00:00,10.263464581314913,0.0006312455594462092
ETH_3m_1784380320000_-1,3m,1m,2584,-1,2026-07-18 13:12:00+00:00,2026-07-18 13:15:00+00:00,4.105888541333632,0.0009176296191014786
ETH_3m_1784602440000_1,3m,1m,3818,1,2026-07-21 02:54:00+00:00,2026-07-21 02:57:00+00:00,15.107280107510231,0.0015064208974935377
ETH_3m_1784809080000_-1,3m,1m,4966,-1,2026-07-23 12:18:00+00:00,2026-07-23 12:21:00+00:00,5.247959128778988,0.001035105869261496
ETH_3m_1784874960000_1,3m,1m,5332,1,2026-07-24 06:36:00+00:00,2026-07-24 06:39:00+00:00,3.7074474288530745,0.0010573674082023311
