trade_id,case_signal_i,control_signal_i,month,hk_6h_block,vol_bin,direction,closed,control_gross_return,control_net_return,control_entry_i,control_exit_i,control_entry_price,control_exit_price,control_exit_reason
0,11007,11127,2025-01,3,2,-1,True,0.0010000000000000438,-0.000998999999999956,11128,11135,3180.15,3176.96985,stop
0,11007,11121,2025-01,3,2,-1,True,0.0009999999999999874,-0.0009990000000000125,11122,11123,3132.04,3128.90796,stop
0,11007,11109,2025-01,3,2,-1,True,0.0009999999999999796,-0.0009990000000000205,11110,11144,3332.88,3329.54712,stop
1,11145,11127,2025-01,3,2,1,True,-0.03000000000000003,-0.031970000000000026,11128,11129,3180.15,3084.7455,stop
1,11145,11025,2025-01,3,2,1,True,0.0009999999999999482,-0.001001000000000052,11026,11028,3270.06,3273.33006,stop
1,11145,11061,2025-01,3,2,1,True,0.0009999999999998294,-0.0010010000000001704,11062,11064,3420.44,3423.8604399999995,stop
2,11292,11220,2025-02,1,3,-1,True,0.000999999999999978,-0.0009990000000000222,11221,11229,2743.54,2740.79646,stop
2,11292,11214,2025-02,1,3,-1,True,-0.030003982985305606,-0.03203398696829091,11215,11217,2586.0,2663.5903000000003,stop
2,11292,11202,2025-02,1,3,-1,True,-0.02999999999999994,-0.03202999999999994,11203,11208,2624.72,2703.4615999999996,stop
3,11427,11463,2025-03,3,0,1,True,-0.029995305959495632,-0.03196531065353614,11464,11470,2066.45,2004.4662,stop
3,11427,11469,2025-03,3,0,1,True,-0.029995177008750967,-0.03196518183174221,11470,11479,2011.2,1950.8737,stop
3,11427,11445,2025-03,3,0,1,True,0.0009999999999998352,-0.0010010000000001645,11446,11452,1985.27,1987.2552699999997,stop
4,11479,11402,2025-03,2,1,-1,True,0.0010000000000000577,-0.0009989999999999424,11403,11415,1928.0,1926.072,stop
4,11479,11401,2025-03,2,1,-1,True,0.0010000000000000354,-0.0009989999999999645,11402,11410,1916.85,1914.9331499999998,stop
4,11479,11431,2025-03,2,1,-1,True,0.0010000000000000304,-0.0009989999999999697,11432,11433,2006.46,2004.45354,stop
5,11725,11845,2025-05,2,1,1,True,-0.0034758059619939244,-0.0054723301560319305,11846,11848,2635.36,2626.2,stop_gap
5,11725,11689,2025-05,2,1,1,True,0.0009999999999998773,-0.0010010000000001225,11690,11696,1815.29,1817.1052899999997,stop
5,11725,11690,2025-05,2,1,1,True,0.0009999999999998933,-0.0010010000000001064,11691,11693,1832.39,1834.22239,stop
6,11863,11780,2025-05,2,2,-1,True,0.001000000000000089,-0.0009989999999999108,11781,11782,2480.55,2478.06945,stop
6,11863,11821,2025-05,2,2,-1,True,0.0009999999999999694,-0.0009990000000000307,11822,11831,2545.78,2543.2342200000003,stop
6,11863,11803,2025-05,2,2,-1,True,0.001000000000000072,-0.0009989999999999281,11804,11807,2550.72,2548.1692799999996,stop
7,12858,12840,2025-11,1,3,-1,True,0.0010000000000000007,-0.0009989999999999995,12841,12846,3626.44,3622.81356,stop
7,12858,12804,2025-11,1,3,-1,True,0.0010000000000000208,-0.0009989999999999793,12805,12840,3640.91,3637.26909,stop
7,12858,12822,2025-11,1,3,-1,True,0.0009999999999999848,-0.0009990000000000153,12823,12826,3343.68,3340.33632,stop
8,13094,12968,2025-12,2,0,1,True,-0.03224771547833928,-0.03421546776286094,12969,12970,2836.48,2745.01,stop_gap
8,13094,13123,2025-12,2,0,1,True,0.0009999999999999278,-0.0010010000000000721,13124,13137,2931.46,2934.39146,stop
8,13094,13141,2025-12,2,0,1,True,0.0009999999999998868,-0.0010010000000001131,13142,13144,2949.43,2952.3794299999995,stop
9,13105,13064,2025-12,2,0,-1,True,0.0010000000000000462,-0.000998999999999954,13065,13066,2927.36,2924.43264,stop
9,13105,13136,2025-12,2,0,-1,True,0.0010000000000000458,-0.0009989999999999544,13137,13141,2958.52,2955.56148,stop
9,13105,13118,2025-12,2,0,-1,True,0.0010000000000000482,-0.0009989999999999517,13119,13134,2963.65,2960.68635,stop
10,13230,13182,2026-01,1,1,1,True,0.0009999999999998615,-0.0010010000000001385,13183,13186,3223.88,3227.1038799999997,stop
10,13230,13188,2026-01,1,1,1,True,-0.02999999999999995,-0.03196999999999995,13189,13191,3265.57,3167.6029000000003,stop
10,13230,13248,2026-01,1,1,1,True,0.0009999999999999113,-0.0010010000000000886,13249,13259,3288.12,3291.4081199999996,stop
11,13267,13250,2026-01,2,1,-1,True,0.38377335001317625,0.3821571233631894,13251,13442,3301.39,2034.4045,stop
11,13267,13183,2026-01,2,1,-1,True,0.0009999999999999525,-0.0009990000000000476,13184,13228,3218.0,3214.782,stop
11,13267,13225,2026-01,2,1,-1,True,-0.02999999999999999,-0.03202999999999999,13226,13228,3121.08,3214.7124,stop
