bar,step,family,value_json,distance_from_inherited,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,tp,sl,protected_stop,timeout,minimum_fold_events,eligible,robust_score_bp,worst_fold_net_bp,2023H1_events,2023H2_events,2024H1_events,2024H2_events,2023H1_mean_net_bp,2023H2_mean_net_bp,2024H1_mean_net_bp,2024H2_mean_net_bp
15m,1,gap_window,"[2,8]",0.0,113,1.6468475123662207,-18.353152487633785,-39.9262727906746,0.30973451327433627,0.4665358499561087,-0.5830686365146003,-0.5830686365146003,22,76,11,4,22,True,-22.373993903089232,-26.41674356998594,27,22,32,32,-23.08042801589581,-26.41674356998594,-15.760105063061992,-11.413842316117375
15m,1,gap_window,"[2,12]",4.0,134,0.6290984753058623,-19.370901524694137,-40.39211990904955,0.291044776119403,0.44435478137848705,-0.6733156005423878,-0.6733156005423878,25,93,12,4,29,True,-27.910592704099358,-29.673849222304558,33,29,36,36,-26.255917884033693,-29.673849222304558,-19.829021912067397,-4.30191938485124
15m,1,gap_window,"[4,12]",6.0,91,1.8279206914643094,-18.172079308535697,-40.46256602554975,0.2967032967032967,0.463034806470248,-0.5255117291589716,-0.5363493075842947,17,62,9,3,19,True,-34.970426846044596,-31.628943405686883,19,26,22,24,-28.23103905557761,-31.628943405686883,-24.79604964119176,10.441506068054348
15m,1,gap_window,"[4,16]",10.0,107,2.02378913874322,-17.97621086125679,-40.32167379254935,0.308411214953271,0.4636048068682926,-0.5594456856116301,-0.5617332678015889,22,72,10,3,23,True,-31.974385079269513,-28.275831326254522,23,27,31,26,-28.008009539493283,-28.275831326254522,-21.779180768316518,6.128142572328992
15m,1,gap_window,"[6,24]",20.0,109,2.793910316104328,-17.206089683895677,-40.52565015169594,0.3486238532110092,0.4932925244802566,-0.5033100522848514,-0.5150518803195612,24,71,13,1,19,True,-27.420847599749923,-26.74712846965812,27,19,35,28,-21.75865070192047,-26.74712846965812,-22.525303488864818,0.3071734443213291
15m,1,gap_window,"[8,32]",30.0,101,-1.5281021923879647,-21.52810219238797,-40.74109720885398,0.3069306930693069,0.40784585262653755,-0.5463466453778132,-0.547963746460707,20,70,11,0,14,True,-29.274670748468104,-29.00961689417105,27,14,33,27,-27.876412526983636,-29.00961689417105,-22.94793648362857,-9.565134915721805
15m,2,k1_min_body_ratio,0.5,0.15000000000000002,132,7.7214517745830165,-12.278548225416985,-39.38348923683164,0.3333333333333333,0.633890612986483,-0.5931485824193952,-0.5931485824193952,28,86,14,4,23,True,-27.690509460976486,-28.20527653577942,31,23,41,37,-19.657168456856823,-28.20527653577942,-20.124356931416344,12.497941916716638
15m,2,k1_min_body_ratio,0.55,0.09999999999999998,128,8.651631090729316,-11.348368909270691,-39.35693613362988,0.34375,0.6589223584191994,-0.5603717094299787,-0.5603717094299787,28,82,14,4,23,True,-26.905097143000134,-28.20527653577942,30,23,39,36,-18.82204753166974,-28.20527653577942,-18.978304925916277,13.915151611030707
15m,2,k1_min_body_ratio,0.6,0.050000000000000044,121,6.623817626346875,-13.37618237365313,-39.028423707914136,0.34710743801652894,0.5926531943587883,-0.5352371249906047,-0.5352371249906047,27,77,13,4,22,True,-22.087875113782992,-26.41674356998594,29,22,35,35,-17.600291628420276,-26.41674356998594,-16.46995546481313,1.4144911377231355
15m,2,k1_min_body_ratio,0.65,0.0,113,1.6468475123662207,-18.353152487633785,-39.9262727906746,0.30973451327433627,0.4665358499561087,-0.5830686365146003,-0.5830686365146003,22,76,11,4,22,True,-22.373993903089232,-26.41674356998594,27,22,32,32,-23.08042801589581,-26.41674356998594,-15.760105063061992,-11.413842316117375
