bar,step,family,value_json,distance_from_inherited,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,tp,sl,protected_stop,timeout,minimum_fold_events,eligible,robust_score_bp,worst_fold_net_bp,2023H1_events,2023H2_events,2024H1_events,2024H2_events,2023H1_mean_net_bp,2023H2_mean_net_bp,2024H1_mean_net_bp,2024H2_mean_net_bp
5m,2,k1_min_body_ratio,0.75,0.09999999999999998,84,2.262063207663539,-17.737936792336466,-37.76112524020546,0.35714285714285715,0.37613800611897164,-0.44570130375074424,-0.4678919384291659,17,51,16,0,12,False,-20.472346238554657,-24.595344667751053,18,12,21,33,-8.308305278275746,-15.826330719480014,-24.595344667751053,-19.212696633053547
5m,3,k1_min_range_atr,0.65,0.29999999999999993,135,3.13602730633022,-16.863972693669783,-37.39391353677844,0.362962962962963,0.38702037074143864,-0.6460434623909632,-0.6532093521421478,26,83,26,0,15,False,-18.265188951342285,-20.201924178813922,36,15,40,44,-20.201924178813922,-10.875739745844381,-17.632440043785987,-15.475757847023049
5m,3,k1_min_range_atr,0.8,0.1499999999999999,122,2.9065018637377773,-17.093498136262227,-37.702952712622675,0.36065573770491804,0.3883694780705863,-0.5975522853727744,-0.614487997159128,24,75,23,0,14,False,-18.8855864854031,-22.319263121619056,31,14,37,40,-18.364155870108092,-8.486169897014781,-22.319263121619056,-14.287470664813213
5m,3,k1_min_range_atr,0.95,0.0,112,2.0414952437841243,-17.958504756215884,-38.29299354744296,0.3482142857142857,0.37415389133400667,-0.57883378042188,-0.5965572000107575,21,70,21,0,12,False,-18.290644167615426,-24.332215540938353,29,12,33,38,-16.81220320384848,-15.826330719480014,-24.332215540938353,-13.971567323680175
5m,3,k1_min_range_atr,1.1,0.15000000000000013,94,2.520483354532597,-17.47951664546741,-37.904848131756744,0.3404255319148936,0.3954382840417983,-0.5047431727076548,-0.5297246552689172,19,59,16,0,11,False,-17.758407345170415,-23.811118807490743,28,11,24,31,-17.412639032557394,-13.597647192914131,-23.811118807490743,-14.01547423420954
5m,3,k1_min_range_atr,1.25,0.30000000000000004,74,0.329826385939237,-19.670173614060765,-38.84145830720107,0.2972972972972973,0.3535323896250817,-0.4605263168395243,-0.4768930146207532,14,49,11,0,10,False,-19.823772076206456,-31.207123755327462,20,10,18,26,-17.948756272903474,-14.957411912205547,-31.207123755327462,-14.819822125556822
5m,3,k1_min_range_atr,1.5,0.55,57,0.591430716736897,-19.408569283263102,-39.45449065702265,0.2982456140350877,0.3851033670612782,-0.3750409539328159,-0.38200065211554746,12,39,6,0,9,False,-20.265772379116346,-35.91289820986738,16,9,12,20,-14.97473762167861,-12.419289485760341,-35.91289820986738,-16.198213165444383
5m,4,k1_min_directional_close_location,0.6,0.09999999999999998,120,2.1630979310713525,-17.836902068928655,-37.97658101578947,0.35,0.3740333316433896,-0.6036438738648751,-0.6276631361618568,23,75,22,0,14,False,-17.737858805805416,-25.105402051319103,31,14,35,40,-17.038871306499992,-13.751185042784035,-25.105402051319103,-13.525439384369827
5m,4,k1_min_directional_close_location,0.65,0.04999999999999993,120,2.1630979310713525,-17.836902068928655,-37.97658101578947,0.35,0.3740333316433896,-0.6036438738648751,-0.6276631361618568,23,75,22,0,14,False,-17.737858805805416,-25.105402051319103,31,14,35,40,-17.038871306499992,-13.751185042784035,-25.105402051319103,-13.525439384369827
5m,4,k1_min_directional_close_location,0.7,0.0,112,2.0414952437841243,-17.958504756215884,-38.29299354744296,0.3482142857142857,0.37415389133400667,-0.57883378042188,-0.5965572000107575,21,70,21,0,12,False,-18.290644167615426,-24.332215540938353,29,12,33,38,-16.81220320384848,-15.826330719480014,-24.332215540938353,-13.971567323680175
5m,4,k1_min_directional_close_location,0.75,0.050000000000000044,102,2.35358829486765,-17.646411705132355,-38.70948698744546,0.3431372549019608,0.39047189882861133,-0.5367630580271497,-0.5562568880401014,20,64,18,0,12,False,-18.44257369243499,-24.820607520404526,26,12,28,36,-16.74922461817354,-15.826330719480014,-24.820607520404526,-13.32114374016392
5m,4,k1_min_directional_close_location,0.8,0.10000000000000009,90,2.6703888691016475,-17.329611130898357,-38.22713048486469,0.35555555555555557,0.39242139177427526,-0.47184828465763284,-0.49525133066793836,18,55,17,0,10,False,-19.727194360538782,-22.76848399008687,21,10,25,34,-11.706403280040677,-19.135260236492574,-22.76848399008687,-16.272524434791183
5m,4,k1_min_directional_close_location,0.85,0.15000000000000002,76,3.413661231805499,-16.586338768194505,-37.702952712622675,0.35526315789473684,0.4095847404119634,-0.40418574977025334,-0.4305870051418911,16,46,14,0,9,False,-18.937257674945396,-26.69903831272815,16,9,19,32,-8.707625299319826,-16.954152845505753,-26.69903831272815,-14.417832438821197
5m,5,k1_min_sma40_cross_depth_atr,-0.05,0.0,112,2.0414952437841243,-17.958504756215884,-38.29299354744296,0.3482142857142857,0.37415389133400667,-0.57883378042188,-0.5965572000107575,21,70,21,0,12,False,-18.290644167615426,-24.332215540938353,29,12,33,38,-16.81220320384848,-15.826330719480014,-24.332215540938353,-13.971567323680175
5m,5,k1_min_sma40_cross_depth_atr,0.0,0.05,109,1.2578749792264659,-18.742125020773543,-38.009182513301084,0.3394495412844037,0.35599235615300084,-0.5869074933303182,-0.596455011683313,19,69,21,0,12,False,-18.93096788404804,-23.876419468498046,28,12,32,37,-18.639722706206232,-15.826330719480014,-23.876419468498046,-15.324810807157927
5m,5,k1_min_sma40_cross_depth_atr,0.05,0.1,94,3.7247576249754,-16.275242375024607,-37.567064417164936,0.3723404255319149,0.41410601752801296,-0.49645249602661745,-0.5020771447096446,18,57,19,0,8,False,-20.042207310757874,-21.315183042634448,28,8,26,32,-18.639722706206232,-1.4434557337101965,-21.315183042634448,-13.819316953136273
5m,5,k1_min_sma40_cross_depth_atr,0.1,0.15000000000000002,88,3.316816353227783,-16.683183646772218,-37.84667560417397,0.36363636363636365,0.4149712573958317,-0.47220799065171715,-0.48803042073146874,17,54,17,0,8,False,-20.711405036897307,-22.1596574890997,26,8,24,30,-22.1596574890997,-1.4434557337101965,-20.015578626686118,-13.334917776307154
5m,5,k1_min_sma40_cross_depth_atr,0.15,0.2,81,2.1146204007679343,-17.88537959923207,-38.57680458158484,0.35802469135802467,0.37966458627586236,-0.46348398323896567,-0.4712170712781246,14,50,17,0,8,False,-20.976512045994472,-26.868503393880808,24,8,22,27,-26.868503393880808,-1.4434557337101965,-18.50415650962519,-14.267873222341567
5m,6,k2_min_rejection_wick_share,0.15,0.1,112,2.0414952437841243,-17.958504756215884,-38.29299354744296,0.3482142857142857,0.37415389133400667,-0.57883378042188,-0.5965572000107575,21,70,21,0,12,False,-18.290644167615426,-24.332215540938353,29,12,33,38,-16.81220320384848,-15.826330719480014,-24.332215540938353,-13.971567323680175
5m,6,k2_min_rejection_wick_share,0.2,0.04999999999999999,112,2.0414952437841243,-17.958504756215884,-38.29299354744296,0.3482142857142857,0.37415389133400667,-0.57883378042188,-0.5965572000107575,21,70,21,0,12,False,-18.290644167615426,-24.332215540938353,29,12,33,38,-16.81220320384848,-15.826330719480014,-24.332215540938353,-13.971567323680175
5m,6,k2_min_rejection_wick_share,0.25,0.0,112,2.0414952437841243,-17.958504756215884,-38.29299354744296,0.3482142857142857,0.37415389133400667,-0.57883378042188,-0.5965572000107575,21,70,21,0,12,False,-18.290644167615426,-24.332215540938353,29,12,33,38,-16.81220320384848,-15.826330719480014,-24.332215540938353,-13.971567323680175
5m,6,k2_min_rejection_wick_share,0.3,0.04999999999999999,109,0.5243769984528263,-19.47562300154718,-38.65374721951696,0.3302752293577982,0.3455094642757933,-0.5929926330972537,-0.6053540214398299,19,70,20,0,11,False,-20.16380620586213,-24.332215540938353,29,11,33,36,-16.81220320384848,-20.341509123985357,-24.332215540938353,-16.904702806728654
5m,6,k2_min_rejection_wick_share,0.35,0.09999999999999998,106,0.3618555196458505,-19.638144480354157,-38.70948698744546,0.330188679245283,0.33974594877508313,-0.5861410986843221,-0.5987105777999603,18,68,20,0,11,False,-20.439711068663385,-23.922286022240083,29,11,32,34,-16.81220320384848,-20.341509123985357,-23.922286022240083,-17.788813792070957
5m,6,k2_min_rejection_wick_share,0.45,0.2,92,1.441793026180879,-18.558206973819125,-38.29299354744296,0.33695652173913043,0.3575890510451674,-0.5348328064488864,-0.549074977279666,15,58,19,0,11,False,-19.982007998633186,-23.88363345145288,23,11,28,30,-14.616265658613791,-20.341509123985357,-23.88363345145288,-15.956086481290752
5m,7,k2_max_body_ratio,0.3,0.2,68,6.178175952675666,-13.821824047324338,-37.005572819082104,0.4117647058823529,0.4813471215888806,-0.36568330642524716,-0.41480718865282085,14,40,14,0,5,False,-18.785290240072005,-28.064154967886378,18,5,24,21,-5.697879966178858,-21.308178171530727,-28.064154967886378,-2.7257897971385026
5m,7,k2_max_body_ratio,0.4,0.09999999999999998,92,5.785449851578125,-14.214550148421875,-37.319673708108276,0.391304347826087,0.47391858947803667,-0.44351009939394725,-0.46429155246460496,20,54,18,0,10,False,-13.877779730584207,-19.67442680325344,27,10,27,28,-12.819071770009266,-11.00288521517843,-19.67442680325344,-11.44233214374769
5m,7,k2_max_body_ratio,0.5,0.0,112,2.0414952437841243,-17.958504756215884,-38.29299354744296,0.3482142857142857,0.37415389133400667,-0.57883378042188,-0.5965572000107575,21,70,21,0,12,False,-18.290644167615426,-24.332215540938353,29,12,33,38,-16.81220320384848,-15.826330719480014,-24.332215540938353,-13.971567323680175
5m,7,k2_max_body_ratio,0.6,0.09999999999999998,131,0.6477263817926435,-19.35227361820736,-38.56572249882893,0.33587786259541985,0.3369985973254824,-0.6685484413313478,-0.682496509278384,23,84,24,0,15,False,-20.32911079852043,-24.05957049014,33,15,40,43,-21.31813753896697,-14.26270528384227,-24.05957049014,-15.24013735665163
5m,7,k2_max_body_ratio,0.7,0.19999999999999996,140,-0.8799989704672551,-20.879998970467256,-38.908302498205074,0.3142857142857143,0.3132921627410768,-0.7123872790030055,-0.7244905311072095,24,93,23,0,16,False,-22.445508221869435,-24.65945221396441,39,16,41,44,-24.462719336410387,-16.161105087607996,-24.65945221396441,-15.898604081162324
5m,8,k2_min_rejection_close_location,0.2,0.04999999999999999,112,2.0414952437841243,-17.958504756215884,-38.29299354744296,0.3482142857142857,0.37415389133400667,-0.57883378042188,-0.5965572000107575,21,70,21,0,12,False,-18.290644167615426,-24.332215540938353,29,12,33,38,-16.81220320384848,-15.826330719480014,-24.332215540938353,-13.971567323680175
5m,8,k2_min_rejection_close_location,0.25,0.0,112,2.0414952437841243,-17.958504756215884,-38.29299354744296,0.3482142857142857,0.37415389133400667,-0.57883378042188,-0.5965572000107575,21,70,21,0,12,False,-18.290644167615426,-24.332215540938353,29,12,33,38,-16.81220320384848,-15.826330719480014,-24.332215540938353,-13.971567323680175
5m,8,k2_min_rejection_close_location,0.35,0.09999999999999998,111,1.1801596807336656,-18.819840319266344,-38.57680458158484,0.34234234234234234,0.3559428190546476,-0.5853181021869357,-0.5979125768680994,20,70,21,0,12,False,-18.364564961981735,-24.332215540938353,29,12,33,37,-16.81220320384848,-15.826330719480014,-24.332215540938353,-16.44781894708734
5m,8,k2_min_rejection_close_location,0.45,0.2,109,1.651092627021105,-18.348907372978903,-38.57680458158484,0.3486238532110092,0.36598193450893274,-0.5690487656621641,-0.5835545381947403,20,68,21,0,12,False,-18.025846411778794,-24.332215540938353,27,12,33,37,-14.782731351835677,-15.826330719480014,-24.332215540938353,-16.432920964065154
5m,8,k2_min_rejection_close_location,0.55,0.30000000000000004,101,4.452709206180035,-15.547290793819968,-37.7217367301985,0.38613861386138615,0.4369231391902866,-0.48684094856681026,-0.5163623602936577,21,60,20,0,12,False,-17.148657583665926,-22.28865985138034,26,12,29,34,-9.911338129931059,-15.826330719480014,-22.28865985138034,-14.008661013935853
5m,8,k2_min_rejection_close_location,0.65,0.4,86,3.1111306380627144,-16.88886936193729,-38.18865916589863,0.37209302325581395,0.40408479294584726,-0.4565514987099941,-0.5014832156695881,18,53,15,0,11,False,-22.910948173679635,-22.290570848741876,22,11,27,26,-5.970281939643978,-20.341509123985357,-22.290570848741876,-19.057482660560368
5m,9,k2_touch_depth_atr_max,0.5,1.0,84,-1.6646928780875414,-21.664692878087546,-38.29299354744296,0.32142857142857145,0.2594509617684921,-0.5330863068548861,-0.5432412245671031,14,55,15,0,9,False,-23.4984981042631,-28.40980796763749,21,9,26,28,-11.050201851148598,-13.376484388201142,-28.40980796763749,-26.026307008316
5m,9,k2_touch_depth_atr_max,0.75,0.75,97,1.6474634052846309,-18.352536594715374,-37.80051375021241,0.3402061855670103,0.35051760123233805,-0.5404161090067514,-0.5753798687946101,18,61,18,0,10,False,-19.57919456723446,-28.05593716442112,25,10,29,33,-11.004993339012508,-17.166174258315998,-28.05593716442112,-15.751130177597146
5m,9,k2_touch_depth_atr_max,1.0,0.5,107,1.4933881370726918,-18.506611862927315,-38.57680458158484,0.3364485981308411,0.35411744049025395,-0.584513205201804,-0.6019976245486895,19,68,20,0,11,False,-20.028715829991267,-27.996702751743822,26,11,32,38,-12.799196306984674,-20.055847181451977,-27.996702751743822,-13.971567323680175
5m,9,k2_touch_depth_atr_max,1.25,0.25,111,1.192549881045422,-18.807450118954588,-38.65374721951696,0.3333333333333333,0.35842886204670993,-0.5950547804214453,-0.6120955916343913,20,71,20,0,12,False,-19.986693774323825,-24.332215540938353,28,12,33,38,-20.136725836406644,-15.826330719480014,-24.332215540938353,-13.971567323680175
5m,9,k2_touch_depth_atr_max,1.5,0.0,112,2.0414952437841243,-17.958504756215884,-38.29299354744296,0.3482142857142857,0.37415389133400667,-0.57883378042188,-0.5965572000107575,21,70,21,0,12,False,-18.290644167615426,-24.332215540938353,29,12,33,38,-16.81220320384848,-15.826330719480014,-24.332215540938353,-13.971567323680175
5m,9,k2_touch_depth_atr_max,2.0,0.5,114,3.1701451476401745,-16.82985485235983,-37.904848131756744,0.35964912280701755,0.403013402315214,-0.5684400514377613,-0.5866008575294386,22,70,22,0,13,False,-17.063961989470112,-20.88864803893552,29,13,34,38,-16.81220320384848,-14.608920664135397,-20.88864803893552,-13.971567323680175
5m,10,oscillator_gate,"""none""",0.0,112,2.0414952437841243,-17.958504756215884,-38.29299354744296,0.3482142857142857,0.37415389133400667,-0.57883378042188,-0.5965572000107575,21,70,21,0,12,False,-18.290644167615426,-24.332215540938353,29,12,33,38,-16.81220320384848,-15.826330719480014,-24.332215540938353,-13.971567323680175
5m,10,oscillator_gate,"""k1_sign""",1.0,50,-1.9731076680398862,-21.973107668039887,-39.197663768797945,0.3,0.2759168301875464,-0.37808902470649586,-0.40490261228360125,8,34,8,0,7,False,-28.79310192930272,-32.94224828645563,15,7,10,18,-20.966436684384092,-29.231171623980917,-32.94224828645563,-13.895452716878355
5m,10,oscillator_gate,"""k2_sign""",1.0,88,0.05815024418995789,-19.941849755810047,-39.197663768797945,0.29545454545454547,0.3626838619071511,-0.5260481078753131,-0.5621049419637213,16,59,13,0,9,False,-25.15905489383649,-27.713378348940147,19,9,27,33,-27.713378348940147,-16.585111070351363,-26.688187075627543,-10.863076945645913
5m,10,oscillator_gate,"""both_sign""",1.0,47,-3.1724066097458117,-23.172406609745817,-39.31977798009687,0.2765957446808511,0.26173457705701325,-0.3775721655844094,-0.40440803745602905,7,33,7,0,6,False,-30.369500624957706,-32.94224828645563,13,6,10,18,-26.69468309642951,-27.088599772683835,-32.94224828645563,-13.895452716878355
5m,10,oscillator_gate,"""k2_sign_and_acceleration""",1.0,47,7.186863758257892,-12.813136241742113,-37.80051375021241,0.3404255319148936,0.5555731662420086,-0.2636378235682697,-0.3196580426363964,12,30,5,0,5,False,-18.175373499989764,-34.46422941141613,9,5,13,20,-9.008448863154262,-14.697498232016699,-34.46422941141613,0.01905549575011503
5m,11,k1_min_volume_ratio_20,null,0.0,112,2.0414952437841243,-17.958504756215884,-38.29299354744296,0.3482142857142857,0.37415389133400667,-0.57883378042188,-0.5965572000107575,21,70,21,0,12,False,-18.290644167615426,-24.332215540938353,29,12,33,38,-16.81220320384848,-15.826330719480014,-24.332215540938353,-13.971567323680175
5m,11,k1_min_volume_ratio_20,1.0,1.0,71,0.8010354890806962,-19.198964510919307,-38.76522675537395,0.28169014084507044,0.37491357743424664,-0.46325030997667194,-0.46325030997667194,13,48,10,0,10,False,-21.280817174890895,-25.666270352625446,19,10,18,24,-22.518713106254758,-14.957411912205547,-25.666270352625446,-13.48766440779653
5m,11,k1_min_volume_ratio_20,1.25,1.0,60,0.042600267696720394,-19.957399732303276,-38.6152759005509,0.2833333333333333,0.3326266746204754,-0.41090436469974034,-0.41090436469974034,11,40,9,0,10,False,-21.496048632135857,-24.978740099549157,18,10,15,17,-15.330105306655916,-14.957411912205547,-23.152625840266627,-24.978740099549157
5m,11,k1_min_volume_ratio_20,1.5,1.0,46,-1.6763370858859394,-21.67633708588594,-37.904848131756744,0.2826086956521739,0.27625226607496317,-0.36314930992418204,-0.36314930992418204,7,31,8,0,8,False,-22.83847886879571,-31.85069489749694,16,8,11,11,-16.48801378564475,-17.666018515046353,-31.85069489749694,-21.965226671600014
5m,11,k1_min_volume_ratio_20,2.0,1.0,28,1.1803165594431333,-18.81968344055687,-37.70154802503976,0.2857142857142857,0.36808007939165266,-0.23038202992505197,-0.23038202992505197,5,19,4,0,5,False,-21.809309736729297,-25.540514262229376,10,6,7,5,-15.705680620581626,-22.370997455395006,-25.540514262229376,-11.376949112360073
5m,12,fee_to_risk_max,0.25,1.0,0,,,,,,,,0,0,0,0,0,False,,,0,0,0,0,,,,
5m,12,fee_to_risk_max,0.35,0.9,1,-63.46506384028005,-83.46506384028005,-83.46506384028005,0.0,0.0,-0.013151340090090224,-0.013151340090090224,0,1,0,0,0,False,,,1,0,0,0,-83.46506384028005,,,
5m,12,fee_to_risk_max,0.5,0.75,9,-7.000220941412913,-27.000220941412913,-65.45361636023371,0.2222222222222222,0.5044401195309381,-0.04700989561917501,-0.08099815552244527,2,7,0,0,0,False,,,2,0,3,4,-73.74075997562511,,-69.2534422488237,28.059964556251277
5m,12,fee_to_risk_max,0.75,0.5,42,0.356315247378447,-19.643684752621557,-50.09084385897975,0.30952380952380953,0.4586183298938768,-0.21180681845127958,-0.24987920093387106,8,27,7,0,3,False,-31.39332749856229,-33.40865316738752,10,3,11,18,-29.725819980042854,-33.40865316738752,-23.83182857158357,-9.188915890005278
5m,12,fee_to_risk_max,1.0,0.25,76,2.5895160722085686,-17.410483927791436,-42.52857179006029,0.34210526315789475,0.43531585485138835,-0.38155258173686535,-0.3958463246174423,15,47,14,0,6,False,-21.314563572117333,-23.479321417126737,17,6,21,32,-22.217983511803677,-23.479321417126737,-16.582322391805736,-14.26207375252517
5m,12,fee_to_risk_max,1.25,0.0,112,2.0414952437841243,-17.958504756215884,-38.29299354744296,0.3482142857142857,0.37415389133400667,-0.57883378042188,-0.5965572000107575,21,70,21,0,12,False,-18.290644167615426,-24.332215540938353,29,12,33,38,-16.81220320384848,-15.826330719480014,-24.332215540938353,-13.971567323680175
5m,12,fee_to_risk_max,1.5,0.25,163,1.0639927745764348,-18.93600722542357,-34.93997706397909,0.3374233128834356,0.29225424647896786,-0.8056241869372545,-0.809398628751353,25,104,34,0,18,False,-19.375356220963887,-25.040415106420316,43,18,47,55,-19.568823234074912,-14.927848779757833,-25.040415106420316,-14.536527102571355
5m,12,fee_to_risk_max,2.0,0.75,245,1.6414488159178264,-18.35855118408218,-31.491552313315225,0.3346938775510204,0.24238252333542654,-0.9478134275110117,-0.9488268004108248,37,155,53,0,34,True,-18.960820442963342,-23.19746196986984,63,34,73,75,-19.457477538923357,-13.961216215610186,-23.19746196986984,-14.7190384002229
