方向,入场北京时间,退出根北京时间,入场价,初始止损,末次退出价,末次退出原因,整单毛R,整单净R,全仓完整初始SL,是否分批,分批成交明细,边界未自然平仓,末次是否开盘退出
多,2026-01-11 17:00:00+08:00,2026-01-12 04:15:00+08:00,3101.91,3090.78,3102.04,trailing_stop,0.0116801437556256,-0.545716082659506,False,False,"[{""fraction"": 1.0, ""price"": 3102.04, ""fill_r"": 0.011680143755625622, ""gross_r_contribution"": 0.011680143755625622, ""allocated_cost_r"": 0.5573962264151117, ""reason"": ""trailing_stop"", ""exit_i"": 141043, ""exit_time"": ""2026-01-11 20:15:00+00:00"", ""exit_at_open"": false}]",False,False
空,2026-01-25 16:45:00+08:00,2026-01-25 18:15:00+08:00,2930.32,2944.78,2944.78,initial_stop,-1.0,-1.405300138312576,True,False,"[{""fraction"": 1.0, ""price"": 2944.78, ""fill_r"": -1.0, ""gross_r_contribution"": -1.0, ""allocated_cost_r"": 0.4053001383125855, ""reason"": ""initial_stop"", ""exit_i"": 142347, ""exit_time"": ""2026-01-25 10:15:00+00:00"", ""exit_at_open"": false}]",False,False
空,2026-02-03 23:15:00+08:00,2026-02-04 04:15:00+08:00,2257.51,2319.71,2229.08,trailing_stop,0.4570739549839288,0.3844852090032198,False,False,"[{""fraction"": 1.0, ""price"": 2229.08, ""fill_r"": 0.45707395498392883, ""gross_r_contribution"": 0.45707395498392883, ""allocated_cost_r"": 0.07258874598070762, ""reason"": ""trailing_stop"", ""exit_i"": 143251, ""exit_time"": ""2026-02-03 20:15:00+00:00"", ""exit_at_open"": false}]",False,False
空,2026-02-04 21:00:00+08:00,2026-02-06 09:30:00+08:00,2243.0,2273.74,1929.63,trailing_stop,10.19420949902399,10.048275862068882,False,False,"[{""fraction"": 1.0, ""price"": 1929.63, ""fill_r"": 10.19420949902399, ""gross_r_contribution"": 10.19420949902399, ""allocated_cost_r"": 0.14593363695510625, ""reason"": ""trailing_stop"", ""exit_i"": 143464, ""exit_time"": ""2026-02-06 01:30:00+00:00"", ""exit_at_open"": false}]",False,False
多,2026-02-13 18:15:00+08:00,2026-02-14 21:00:00+08:00,1958.0,1940.16,2065.91,trailing_stop,6.048766816143518,5.8292600896861275,False,False,"[{""fraction"": 1.0, ""price"": 2065.91, ""fill_r"": 6.048766816143518, ""gross_r_contribution"": 6.048766816143518, ""allocated_cost_r"": 0.2195067264574001, ""reason"": ""trailing_stop"", ""exit_i"": 144278, ""exit_time"": ""2026-02-14 13:00:00+00:00"", ""exit_at_open"": false}]",False,False
空,2026-02-17 23:15:00+08:00,2026-02-18 00:30:00+08:00,1951.57,2004.56,2004.56,initial_stop,-1.0,-1.0736580486884308,True,False,"[{""fraction"": 1.0, ""price"": 2004.56, ""fill_r"": -1.0, ""gross_r_contribution"": -1.0, ""allocated_cost_r"": 0.07365804868843176, ""reason"": ""initial_stop"", ""exit_i"": 144580, ""exit_time"": ""2026-02-17 16:30:00+00:00"", ""exit_at_open"": false}]",False,False
多,2026-02-18 16:00:00+08:00,2026-02-18 19:00:00+08:00,2017.0,1993.72,1993.72,initial_stop,-1.0,-1.1732817869415777,True,False,"[{""fraction"": 1.0, ""price"": 1993.72, ""fill_r"": -1.0, ""gross_r_contribution"": -1.0, ""allocated_cost_r"": 0.17328178694158095, ""reason"": ""initial_stop"", ""exit_i"": 144654, ""exit_time"": ""2026-02-18 11:00:00+00:00"", ""exit_at_open"": false}]",False,False
空,2026-02-18 19:30:00+08:00,2026-02-20 11:45:00+08:00,1982.01,2017.71,1953.85,opposite_v6_next_open,0.7887955182072842,0.6777585434173703,False,False,"[{""fraction"": 1.0, ""price"": 1953.85, ""fill_r"": 0.7887955182072842, ""gross_r_contribution"": 0.7887955182072842, ""allocated_cost_r"": 0.11103697478991584, ""reason"": ""opposite_v6_next_open"", ""exit_i"": 144817, ""exit_time"": ""2026-02-20 03:45:00+00:00"", ""exit_at_open"": true}]",False,True
多,2026-02-21 17:45:00+08:00,2026-02-22 20:30:00+08:00,1971.88,1961.95,1961.95,initial_stop,-1.0,-1.3971560926485314,True,False,"[{""fraction"": 1.0, ""price"": 1961.95, ""fill_r"": -1.0, ""gross_r_contribution"": -1.0, ""allocated_cost_r"": 0.3971560926485373, ""reason"": ""initial_stop"", ""exit_i"": 145044, ""exit_time"": ""2026-02-22 12:30:00+00:00"", ""exit_at_open"": false}]",False,False
空,2026-02-22 21:30:00+08:00,2026-02-23 06:30:00+08:00,1964.14,1975.7,1958.39,trailing_stop,0.4974048442906598,0.1575882352941195,False,False,"[{""fraction"": 1.0, ""price"": 1958.39, ""fill_r"": 0.4974048442906598, ""gross_r_contribution"": 0.4974048442906598, ""allocated_cost_r"": 0.3398166089965414, ""reason"": ""trailing_stop"", ""exit_i"": 145084, ""exit_time"": ""2026-02-22 22:30:00+00:00"", ""exit_at_open"": false}]",False,False
