strategy,variant,split,timeframe_min,side,total_events,realized_events,censored_events,wins,win_rate,net_r,pf,event_sequence_drawdown_r,initial_stop_pct,trailing_stop_pct,post_initial_stop_20bar_future_high_from_entry
v6_both,trail_atr_4.0,development,30,-1,110,110,0,36,0.32727272727272727,38.252371981989135,1.4813419536090107,-18.413620036263367,0.6545454545454545,0.34545454545454546,-0.004393010633699653
v6_both,trail_atr_4.0,development,30,1,123,123,0,35,0.2845528455284553,9.947954553559681,1.1043119839050397,-27.836588134492793,0.7073170731707317,0.2926829268292683,-0.007180928764748644
v6_both,trail_atr_4.0,development,60,-1,61,61,0,22,0.36065573770491804,4.004104121454438,1.0987395358181837,-9.761863404186364,0.6229508196721312,0.3770491803278688,-0.008735550890177477
v6_both,trail_atr_4.0,development,60,1,58,58,0,14,0.2413793103448276,-2.3496866615628607,0.9499312783073233,-27.568755670137314,0.7586206896551724,0.2413793103448276,-0.010965215419297007
v6_both,trail_atr_4.0,development,240,-1,16,16,0,6,0.375,-2.089854075652564,0.7977634896434109,-4.485740294243703,0.625,0.375,0.047923927278677794
v6_both,trail_atr_4.0,development,240,1,14,14,0,8,0.5714285714285714,30.256776311487346,5.883362185653774,-2.919835160950624,0.42857142857142855,0.5714285714285714,-0.016769751380614168
v6_both,trail_atr_4.0,later_validation,30,-1,122,121,1,33,0.2727272727272727,-18.966672671300206,0.8080688436395309,-35.58204214278971,0.7272727272727273,0.2727272727272727,-0.003760480119915868
v6_both,trail_atr_4.0,later_validation,30,1,112,111,1,31,0.27927927927927926,38.474790282667456,1.4187145021517364,-30.762649729735607,0.7117117117117117,0.2882882882882883,-0.007752949679692039
v6_both,trail_atr_4.0,later_validation,60,-1,66,66,0,19,0.2878787878787879,-2.854637048292009,0.9427279718889049,-17.70216638916946,0.696969696969697,0.30303030303030304,-0.011397973115971578
v6_both,trail_atr_4.0,later_validation,60,1,61,60,1,11,0.18333333333333332,-11.6411733086445,0.7785122933871059,-36.995300865840704,0.8,0.2,-0.016692586938318824
v6_both,trail_atr_4.0,later_validation,240,-1,13,13,0,5,0.38461538461538464,1.9957888288914787,1.2401772294233007,-4.314442547245693,0.6153846153846154,0.38461538461538464,-0.012651674876029056
v6_both,trail_atr_4.0,later_validation,240,1,17,17,0,5,0.29411764705882354,8.117280680582777,1.6459080150270353,-8.9069838807046,0.7058823529411765,0.29411764705882354,-0.022680715898240732
v6_both,trail_atr_5.0,development,30,-1,110,110,0,35,0.3181818181818182,38.54795976166115,1.4775890611242348,-20.988480269810154,0.6545454545454545,0.34545454545454546,-0.004393010633699653
v6_both,trail_atr_5.0,development,30,1,123,123,0,34,0.2764227642276423,7.676730997426203,1.079980732728108,-30.974557206970253,0.7073170731707317,0.2926829268292683,-0.007180928764748644
v6_both,trail_atr_5.0,development,60,-1,61,61,0,21,0.3442622950819672,2.3430625937273133,1.0565219924711273,-11.992359330103245,0.6229508196721312,0.3770491803278688,-0.008735550890177477
v6_both,trail_atr_5.0,development,60,1,58,58,0,14,0.2413793103448276,14.933785120996744,1.3182192516444249,-27.568755670137314,0.7586206896551724,0.2413793103448276,-0.010965215419297007
v6_both,trail_atr_5.0,development,240,-1,16,16,0,6,0.375,-0.6916136529290466,0.9330721061758013,-4.992129938897014,0.625,0.375,0.047923927278677794
v6_both,trail_atr_5.0,development,240,1,14,14,0,8,0.5714285714285714,34.96893921097817,6.643892583179226,-2.0739290098189347,0.42857142857142855,0.5714285714285714,-0.016769751380614168
v6_both,trail_atr_5.0,later_validation,30,-1,122,121,1,32,0.2644628099173554,-16.35778268622619,0.834508203329106,-29.567597784778847,0.7272727272727273,0.2727272727272727,-0.003760480119915868
v6_both,trail_atr_5.0,later_validation,30,1,112,111,1,31,0.27927927927927926,29.124399284570018,1.3167308789588872,-34.543451661819034,0.7207207207207207,0.27927927927927926,-0.007391146744139763
v6_both,trail_atr_5.0,later_validation,60,-1,66,66,0,20,0.30303030303030304,6.2233969829731794,1.124859293333879,-17.702166389169456,0.696969696969697,0.30303030303030304,-0.011397973115971578
v6_both,trail_atr_5.0,later_validation,60,1,61,60,1,11,0.18333333333333332,-10.363809577935179,0.8049914529099168,-37.6060597371186,0.8166666666666667,0.18333333333333332,-0.016464250498520377
v6_both,trail_atr_5.0,later_validation,240,-1,13,13,0,5,0.38461538461538464,7.767200723259897,1.9347205090447246,-4.671045131550767,0.6153846153846154,0.38461538461538464,-0.012651674876029056
v6_both,trail_atr_5.0,later_validation,240,1,17,15,2,3,0.2,-7.662314223925602,0.3902945622259941,-7.662314223925604,0.8,0.2,-0.022680715898240732
v6_long,baseline,development,30,1,123,123,0,35,0.2845528455284553,9.947954553559681,1.1043119839050397,-27.836588134492793,0.7073170731707317,0.2926829268292683,-0.007180928764748644
v6_long,baseline,development,60,1,58,58,0,14,0.2413793103448276,-2.3496866615628607,0.9499312783073233,-27.568755670137314,0.7586206896551724,0.2413793103448276,-0.010965215419297007
v6_long,baseline,development,240,1,14,14,0,8,0.5714285714285714,30.256776311487346,5.883362185653774,-2.919835160950624,0.42857142857142855,0.5714285714285714,-0.016769751380614168
v6_long,baseline,later_validation,30,1,112,111,1,31,0.27927927927927926,38.474790282667456,1.4187145021517364,-30.762649729735607,0.7117117117117117,0.2882882882882883,-0.007752949679692039
v6_long,baseline,later_validation,60,1,61,60,1,11,0.18333333333333332,-11.6411733086445,0.7785122933871059,-36.995300865840704,0.8,0.2,-0.016692586938318824
v6_long,baseline,later_validation,240,1,17,17,0,5,0.29411764705882354,8.117280680582777,1.6459080150270353,-8.9069838807046,0.7058823529411765,0.29411764705882354,-0.022680715898240732
v6_long,initial_floor_1.5,development,30,1,123,123,0,35,0.2845528455284553,10.380842905719925,1.1090019770494801,-27.28949563833683,0.6991869918699187,0.3008130081300813,-0.00747097476531161
v6_long,initial_floor_1.5,development,60,1,58,58,0,14,0.2413793103448276,-2.4001772074996692,0.9489103580860695,-27.614493298351405,0.7586206896551724,0.2413793103448276,-0.010965215419297007
v6_long,initial_floor_1.5,development,240,1,14,14,0,8,0.5714285714285714,30.256776311487346,5.883362185653774,-2.919835160950624,0.42857142857142855,0.5714285714285714,-0.016769751380614168
v6_long,initial_floor_1.5,later_validation,30,1,112,111,1,31,0.27927927927927926,38.865837810221,1.4207873163456235,-30.34820464781179,0.7117117117117117,0.2882882882882883,-0.007538993083808475
v6_long,initial_floor_1.5,later_validation,60,1,61,60,1,11,0.18333333333333332,-10.448015360609801,0.8017928356680306,-37.066044880820776,0.8,0.2,-0.016692586938318824
v6_long,initial_floor_1.5,later_validation,240,1,17,17,0,5,0.29411764705882354,13.957329691792507,2.107920763528577,-8.221368957377694,0.7058823529411765,0.29411764705882354,-0.022680715898240732
v6_long,initial_floor_2.0,development,30,1,123,123,0,35,0.2845528455284553,9.947954553559681,1.1043119839050397,-27.836588134492793,0.7073170731707317,0.2926829268292683,-0.007180928764748644
v6_long,initial_floor_2.0,development,60,1,58,58,0,14,0.2413793103448276,-2.3496866615628607,0.9499312783073233,-27.568755670137314,0.7586206896551724,0.2413793103448276,-0.010965215419297007
v6_long,initial_floor_2.0,development,240,1,14,14,0,8,0.5714285714285714,30.256776311487346,5.883362185653774,-2.919835160950624,0.42857142857142855,0.5714285714285714,-0.016769751380614168
v6_long,initial_floor_2.0,later_validation,30,1,112,111,1,31,0.27927927927927926,38.474790282667456,1.4187145021517364,-30.762649729735607,0.7117117117117117,0.2882882882882883,-0.007752949679692039
v6_long,initial_floor_2.0,later_validation,60,1,61,60,1,11,0.18333333333333332,-11.6411733086445,0.7785122933871059,-36.995300865840704,0.8,0.2,-0.016692586938318824
v6_long,initial_floor_2.0,later_validation,240,1,17,17,0,5,0.29411764705882354,8.117280680582777,1.6459080150270353,-8.9069838807046,0.7058823529411765,0.29411764705882354,-0.022680715898240732
v6_long,initial_floor_2.5,development,30,1,123,123,0,35,0.2845528455284553,6.448506308176178,1.0678309453391872,-28.752427689492976,0.7073170731707317,0.2926829268292683,-0.007514734888466548
v6_long,initial_floor_2.5,development,60,1,58,58,0,13,0.22413793103448276,-3.860197632672079,0.919417185440384,-27.501680074077676,0.7758620689655172,0.22413793103448276,-0.011960323956033409
v6_long,initial_floor_2.5,development,240,1,14,14,0,8,0.5714285714285714,27.91091917439019,5.507441342555604,-2.919835160950624,0.42857142857142855,0.5714285714285714,-0.016769751380614168
v6_long,initial_floor_2.5,later_validation,30,1,112,111,1,34,0.3063063063063063,52.19621429724574,1.5988218257022004,-17.835518196353448,0.6846846846846847,0.3153153153153153,-0.008806609888588042
v6_long,initial_floor_2.5,later_validation,60,1,61,60,1,12,0.2,-9.652662764079382,0.8116901909841553,-34.28695992210534,0.7833333333333333,0.21666666666666667,-0.01710294287418999
v6_long,initial_floor_2.5,later_validation,240,1,17,17,0,5,0.29411764705882354,4.575050771219617,1.3654084566237354,-9.356553337338061,0.7058823529411765,0.29411764705882354,-0.023460527526183095
v6_long,initial_floor_3.0,development,30,1,123,123,0,37,0.3008130081300813,5.037425113222722,1.0539301866506843,-31.36338588715108,0.6991869918699187,0.3008130081300813,-0.007697725223812684
v6_long,initial_floor_3.0,development,60,1,58,58,0,14,0.2413793103448276,-0.4720287852224305,0.9898695305594518,-27.424184760604785,0.7586206896551724,0.2413793103448276,-0.012871272591734319
v6_long,initial_floor_3.0,development,240,1,14,14,0,8,0.5714285714285714,26.012654396449857,5.208263886385111,-2.915202205256185,0.42857142857142855,0.5714285714285714,-0.01680698809870414
v6_long,initial_floor_3.0,later_validation,30,1,112,111,1,32,0.2882882882882883,48.47677103914794,1.5481602199824815,-18.821211355228545,0.7027027027027027,0.2972972972972973,-0.009079982598048049
v6_long,initial_floor_3.0,later_validation,60,1,61,60,1,13,0.21666666666666667,-7.14222097333013,0.8566121860983025,-29.900062524231785,0.7666666666666667,0.23333333333333334,-0.018217581834926253
v6_long,initial_floor_3.0,later_validation,240,1,17,17,0,7,0.4117647058823529,12.214547102195413,2.176859101759081,-6.593787229584065,0.5882352941176471,0.4117647058823529,-0.024812404814274235
v6_long,initial_floor_4.0,development,30,1,123,123,0,37,0.3008130081300813,11.883994293668845,1.128978040528975,-31.8035579597255,0.6991869918699187,0.3008130081300813,-0.011851175616089404
v6_long,initial_floor_4.0,development,60,1,58,58,0,14,0.2413793103448276,-2.7052151913579046,0.9414884212189003,-27.729712564062993,0.7586206896551724,0.2413793103448276,-0.02064581876190363
v6_long,initial_floor_4.0,development,240,1,14,14,0,9,0.6428571428571429,23.809907012488846,5.633738526287415,-2.066822691186248,0.35714285714285715,0.6428571428571429,-0.015255004278829688
v6_long,initial_floor_4.0,later_validation,30,1,112,111,1,36,0.32432432432432434,57.4777163217946,1.7006317535296398,-17.09677122276656,0.6666666666666666,0.3333333333333333,-0.013044464951341901
v6_long,initial_floor_4.0,later_validation,60,1,61,59,2,14,0.23728813559322035,-10.370384401198116,0.7828242858947615,-30.407970783542947,0.7627118644067796,0.23728813559322035,-0.024737605272917945
v6_long,initial_floor_4.0,later_validation,240,1,17,17,0,6,0.35294117647058826,10.234409776611491,1.9024904524561057,-8.114352284684362,0.6470588235294118,0.35294117647058826,-0.035339520960401785
v6_long,initial_floor_5.0,development,30,1,123,123,0,39,0.3170731707317073,25.485501596122766,1.286553615118093,-29.77395135410751,0.6829268292682927,0.3170731707317073,-0.020566108952595568
v6_long,initial_floor_5.0,development,60,1,58,58,0,17,0.29310344827586204,8.009545398827012,1.18749428079461,-23.585656297654445,0.7068965517241379,0.29310344827586204,-0.025984889461414064
v6_long,initial_floor_5.0,development,240,1,14,14,0,8,0.5714285714285714,16.264756124055637,3.6509930922401246,-2.928046225637253,0.42857142857142855,0.5714285714285714,-0.050977683662534634
v6_long,initial_floor_5.0,later_validation,30,1,112,111,1,41,0.36936936936936937,75.70670228482284,2.007765862967835,-16.65892353018883,0.6216216216216216,0.3783783783783784,-0.01960715764090638
v6_long,initial_floor_5.0,later_validation,60,1,61,59,2,14,0.23728813559322035,-8.195905245181784,0.8265913260988924,-31.224595143042837,0.7627118644067796,0.23728813559322035,-0.027745102611777536
v6_long,initial_floor_5.0,later_validation,240,1,17,17,0,4,0.23529411764705882,2.4909946017463924,1.1867851186829967,-12.300037428225709,0.7647058823529411,0.23529411764705882,-0.059088084749325614
v6_long,initial_floor_6.0,development,30,1,123,123,0,42,0.34146341463414637,24.8002926460978,1.2918545937155512,-26.761277604545793,0.6585365853658537,0.34146341463414637,-0.02636184106421701
v6_long,initial_floor_6.0,development,60,1,58,58,0,16,0.27586206896551724,3.011738823015042,1.0692334811192232,-25.77117979675498,0.7241379310344828,0.27586206896551724,-0.03264082156003702
v6_long,initial_floor_6.0,development,240,1,14,14,0,8,0.5714285714285714,16.745392410359866,3.7391602560801975,-2.1386946792175854,0.42857142857142855,0.5714285714285714,-0.08440768963414157
v6_long,initial_floor_6.0,later_validation,30,1,112,110,2,42,0.38181818181818183,79.16647242664024,2.086319105861835,-18.292082280569836,0.6181818181818182,0.38181818181818183,-0.024377067169337328
v6_long,initial_floor_6.0,later_validation,60,1,61,59,2,15,0.2542372881355932,-0.5576285159321241,0.9878535939686843,-31.977570704021563,0.7457627118644068,0.2542372881355932,-0.03486132634169201
v6_long,initial_floor_6.0,later_validation,240,1,17,17,0,4,0.23529411764705882,0.16938654040766155,1.0127548904411916,-12.250030191394275,0.7647058823529411,0.23529411764705882,-0.06823629339215763
v6_long,trail_atr_3.0,development,30,1,123,123,0,36,0.2926829268292683,-21.451216948680987,0.7747587498327433,-27.630993803795494,0.7073170731707317,0.2926829268292683,-0.007180928764748644
v6_long,trail_atr_3.0,development,60,1,58,58,0,14,0.2413793103448276,-3.4421546416210083,0.9266522274677061,-27.74878041940258,0.7586206896551724,0.2413793103448276,-0.010965215419297007
v6_long,trail_atr_3.0,development,240,1,14,14,0,8,0.5714285714285714,31.065177551714388,6.013835968013118,-2.6141056401404015,0.42857142857142855,0.5714285714285714,-0.016769751380614168
v6_long,trail_atr_3.0,later_validation,30,1,112,111,1,31,0.27927927927927926,28.186150558774738,1.3094384702325483,-33.14475774842362,0.7117117117117117,0.2882882882882883,-0.007752949679692039
v6_long,trail_atr_3.0,later_validation,60,1,61,60,1,12,0.2,-6.5817410080642285,0.87322825560245,-35.266801833633124,0.8,0.2,-0.016692586938318824
v6_long,trail_atr_3.0,later_validation,240,1,17,17,0,5,0.29411764705882354,9.401678071511238,1.7481100457224854,-8.813153157801132,0.7058823529411765,0.29411764705882354,-0.022680715898240732
v6_long,trail_atr_4.0,development,30,1,123,123,0,35,0.2845528455284553,9.947954553559681,1.1043119839050397,-27.836588134492793,0.7073170731707317,0.2926829268292683,-0.007180928764748644
v6_long,trail_atr_4.0,development,60,1,58,58,0,14,0.2413793103448276,-2.3496866615628607,0.9499312783073233,-27.568755670137314,0.7586206896551724,0.2413793103448276,-0.010965215419297007
v6_long,trail_atr_4.0,development,240,1,14,14,0,8,0.5714285714285714,30.256776311487346,5.883362185653774,-2.919835160950624,0.42857142857142855,0.5714285714285714,-0.016769751380614168
v6_long,trail_atr_4.0,later_validation,30,1,112,111,1,31,0.27927927927927926,38.474790282667456,1.4187145021517364,-30.762649729735607,0.7117117117117117,0.2882882882882883,-0.007752949679692039
v6_long,trail_atr_4.0,later_validation,60,1,61,60,1,11,0.18333333333333332,-11.6411733086445,0.7785122933871059,-36.995300865840704,0.8,0.2,-0.016692586938318824
v6_long,trail_atr_4.0,later_validation,240,1,17,17,0,5,0.29411764705882354,8.117280680582777,1.6459080150270353,-8.9069838807046,0.7058823529411765,0.29411764705882354,-0.022680715898240732
v6_long,trail_atr_5.0,development,30,1,123,123,0,34,0.2764227642276423,7.676730997426203,1.079980732728108,-30.974557206970253,0.7073170731707317,0.2926829268292683,-0.007180928764748644
v6_long,trail_atr_5.0,development,60,1,58,58,0,14,0.2413793103448276,14.933785120996744,1.3182192516444249,-27.568755670137314,0.7586206896551724,0.2413793103448276,-0.010965215419297007
v6_long,trail_atr_5.0,development,240,1,14,14,0,8,0.5714285714285714,34.96893921097817,6.643892583179226,-2.0739290098189347,0.42857142857142855,0.5714285714285714,-0.016769751380614168
v6_long,trail_atr_5.0,later_validation,30,1,112,111,1,31,0.27927927927927926,29.124399284570018,1.3167308789588872,-34.543451661819034,0.7207207207207207,0.27927927927927926,-0.007391146744139763
v6_long,trail_atr_5.0,later_validation,60,1,61,60,1,11,0.18333333333333332,-10.363809577935179,0.8049914529099168,-37.6060597371186,0.8166666666666667,0.18333333333333332,-0.016464250498520377
v6_long,trail_atr_5.0,later_validation,240,1,17,15,2,3,0.2,-7.662314223925602,0.3902945622259941,-7.662314223925604,0.8,0.2,-0.022680715898240732
