signal_i,entry_i,entry_time,exit_i,exit_time,side,entry_price,initial_stop,initial_risk,exit_price,exit_reason,exit_at_open,gross_r,net_r,cost_r,mfe_r,winner,peak_known_gross_r,peak_known_net_r,peak_possible_upper_r,peak_exit_bar_uncertain,peak_bar_open,peak_is_intrabar,minutes_to_peak_lower,holding_minutes_lower,peak_to_exit_minutes_lower,max_closed_bar_r,giveback_r,gross_capture,net_capture,arm_bar_open,pre_peak_pullback_known_r,pre_peak_pullback_possible_r,peak_bar_close_r,peak_bar_4atr_r,peak_bar_protection_next_r,hit1_minutes_lower,hit2_minutes_lower,hit3_minutes_lower,hit4_minutes_lower,hit5_minutes_lower,hit6_minutes_lower,hit8_minutes_lower,hit10_minutes_lower,hit15_minutes_lower,hit20_minutes_lower
55657,55658,2023-08-06 10:00:00+00:00,55693,2023-08-06 18:45:00+00:00,-1,1831.8,1838.45,6.650000000000091,1834.18,opposite_v6_next_open,True,-0.3578947368421167,-0.9088120300751644,0.5509172932330751,0.8992481203007423,False,0.8992481203007423,0.34833082706766716,0.8992481203007423,False,2023-08-06 14:15:00+00:00,True,255.0,525.0,270.0,0.7233082706766736,1.257142857142859,-0.39799331103680624,-2.609048523571006,,,,0.15939849624059113,1.2382808835379562,-1.0,,,,,,,,,,
55741,55742,2023-08-07 07:00:00+00:00,55786,2023-08-07 18:00:00+00:00,-1,1832.81,1841.98,9.170000000000073,1827.94,trailing_stop,False,0.5310796074154691,0.1313391494001955,0.399740458015264,3.785169029443813,True,3.7851690294438125,3.3854285714285486,3.7851690294438125,False,2023-08-07 17:15:00+00:00,True,615.0,660.0,45.0,2.6815703380588576,3.2540894220283434,0.14030538749639543,0.038795427707037505,2023-08-07 16:00:00+00:00,1.8320610687022705,2.0174482006542913,2.6815703380588576,2.8749624024683906,0.5310796074154691,495.0,525.0,555.0,,,,,,,
56246,56247,2023-08-12 13:15:00+00:00,56257,2023-08-12 15:45:00+00:00,1,1852.36,1850.27,2.089999999999918,1850.27,initial_stop,False,-1.0,-2.772593301435522,1.772593301435476,0.6172248803828907,False,0.6172248803828907,-1.1553684210525854,0.6172248803828907,False,2023-08-12 15:30:00+00:00,True,135.0,150.0,15.0,0.2918660287082063,1.6172248803828908,-1.6201550387593866,,,,,-0.49282296650718327,1.8887602056321706,-1.0,,,,,,,,,,
57098,57099,2023-08-21 10:15:00+00:00,57106,2023-08-21 12:00:00+00:00,-1,1667.59,1675.86,8.27000000000021,1675.86,initial_stop,False,-1.0,-1.403286577992724,0.4032865779927346,0.6771463119709513,False,0.6771463119709513,0.2738597339782167,0.6771463119709513,False,2023-08-21 10:45:00+00:00,True,30.0,105.0,75.0,0.2503022974606873,1.6771463119709513,-1.4767857142857757,-5.124106993050478,,,,0.04715840386939091,1.9478764801206454,-0.9999999999999725,,,,,,,,,,
57658,57659,2023-08-27 06:15:00+00:00,57667,2023-08-27 08:15:00+00:00,1,1650.98,1647.99,2.990000000000009,1647.99,initial_stop,False,-1.0,-2.1043344481605484,1.1043344481605315,0.1070234113712158,False,0.10702341137121583,-0.9973110367893157,0.10702341137121583,False,2023-08-27 06:15:00+00:00,True,0.0,120.0,120.0,0.0,1.1070234113712158,-9.343750000001888,,,,,-0.44481605351168,2.0182388320623303,-1.0,,,,,,,,,,
57690,57691,2023-08-27 14:15:00+00:00,57733,2023-08-28 00:45:00+00:00,1,1656.01,1649.16,6.849999999999909,1649.16,initial_stop,False,-1.0,-1.483506569343065,0.4835065693430721,0.5897810218978128,False,0.5897810218978128,0.10627445255474066,0.5897810218978128,False,2023-08-27 15:00:00+00:00,True,45.0,630.0,585.0,0.43649635036497064,1.5897810218978128,-1.6955445544554382,-13.959202175884453,,,,0.11532846715328089,1.38505759327815,-1.0,,,,,,,,,,
60369,60370,2023-09-24 12:00:00+00:00,60383,2023-09-24 15:15:00+00:00,1,1593.97,1591.86,2.1099999999999,1591.86,initial_stop,False,-1.0,-2.5108720379147234,1.5108720379147638,1.1706161137441442,False,1.1706161137441442,-0.34025592417061956,1.1706161137441442,False,2023-09-24 13:00:00+00:00,True,60.0,195.0,135.0,0.7061611374407961,2.170616113744144,-0.8542510121456991,,,,,0.4786729857820089,2.038010952917941,-1.0000000000001077,45.0,,,,,,,,,
61024,61025,2023-10-01 07:45:00+00:00,61052,2023-10-01 14:30:00+00:00,1,1678.36,1674.36,3.9999999999997726,1679.15,trailing_stop,False,0.1975000000000589,-0.6416800000000287,0.8391800000000478,3.560000000000205,False,3.560000000000205,2.720820000000157,3.560000000000205,False,2023-10-01 10:00:00+00:00,True,135.0,405.0,270.0,3.077500000000218,3.362500000000146,0.055477528089900995,-0.23584066568166642,2023-10-01 10:00:00+00:00,,,2.947500000000215,2.7490975805054987,0.19750000000005896,90.0,120.0,135.0,,,,,,,
62373,62374,2023-10-15 09:00:00+00:00,62387,2023-10-15 12:15:00+00:00,1,1557.55,1553.43,4.119999999999891,1553.43,initial_stop,False,-1.0,-1.7560922330097284,0.7560922330097288,0.7014563106796545,False,0.7014563106796545,-0.054635922330074305,0.7014563106796545,False,2023-10-15 09:00:00+00:00,True,0.0,195.0,195.0,0.3252427184466459,1.7014563106796545,-1.4256055363320927,,,,,0.3252427184466459,1.512005765413807,-1.0,,,,,,,,,,
63631,63632,2023-10-28 11:30:00+00:00,63632,2023-10-28 11:30:00+00:00,1,1795.7,1788.2,7.5,1788.2,initial_stop,False,-1.0,-1.4788533333333314,0.4788533333333333,0.0,False,0.0,-0.4788533333333333,0.3559999999999794,True,2023-10-28 11:30:00+00:00,False,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
64584,64585,2023-11-07 09:45:00+00:00,64618,2023-11-07 18:00:00+00:00,-1,1879.48,1893.31,13.829999999999927,1893.31,initial_stop,False,-1.0,-1.2717975415762772,0.2717975415762849,2.131597975415775,False,2.1315979754157754,1.8598004338394905,2.1315979754157754,False,2023-11-07 17:00:00+00:00,True,435.0,495.0,60.0,1.531453362255978,3.1315979754157754,-0.46913161465399994,-0.6838354903223124,,,,1.531453362255978,1.8660974768626815,-1.0,345.0,435.0,,,,,,,,
65743,65744,2023-11-19 11:30:00+00:00,65759,2023-11-19 15:15:00+00:00,-1,1947.41,1961.85,14.440000000000056,1961.85,initial_stop,False,-1.0,-1.2697243767313071,0.2697243767313009,0.1578947368421027,False,0.15789473684210276,-0.11182963988919814,0.15789473684210276,False,2023-11-19 12:15:00+00:00,True,45.0,225.0,180.0,0.0,1.1578947368421026,-6.333333333333434,,,,,-0.018005540166204287,1.2685999253572873,-0.9999999999999841,,,,,,,,,,
66317,66318,2023-11-25 11:00:00+00:00,66354,2023-11-25 20:00:00+00:00,-1,2075.58,2085.01,9.430000000000293,2085.01,initial_stop,False,-1.0,-1.4402078472958375,0.4402078472958506,1.0572640509013247,False,1.0572640509013245,0.6170562036054739,1.0572640509013245,False,2023-11-25 11:30:00+00:00,True,30.0,540.0,510.0,0.9098621420996459,2.0572640509013245,-0.9458375125376612,-2.333997841494291,,,,0.9098621420996459,1.8121161401376555,-0.9999999999999998,30.0,,,,,,,,,
67749,67750,2023-12-10 09:00:00+00:00,67787,2023-12-10 18:15:00+00:00,-1,2344.83,2357.4500000000003,12.620000000000346,2357.4500000000003,initial_stop,False,-1.0,-1.371605388272562,0.371605388272573,1.769413629160009,False,1.769413629160009,1.3978082408874362,1.769413629160009,False,2023-12-10 09:45:00+00:00,True,45.0,555.0,510.0,1.6846275752772726,2.769413629160009,-0.5651589789520998,-0.9812543295650922,,,,1.6846275752772726,1.8685369499216036,-1.0,45.0,,,,,,,,,
69115,69116,2023-12-24 14:30:00+00:00,69117,2023-12-24 14:45:00+00:00,1,2302.52,2288.98,13.539999999999964,2288.98,initial_stop,False,-1.0,-1.3401063515509677,0.340106351550961,0.0354505169867074,False,0.035450516986707495,-0.3046558345642535,0.035450516986707495,False,2023-12-24 14:30:00+00:00,True,0.0,15.0,15.0,0.0,1.0354505169867074,-28.208333333332188,,,,,-0.45273264401773455,2.044201327388279,-1.0,,,,,,,,,,
69888,69889,2024-01-01 15:45:00+00:00,69968,2024-01-02 11:30:00+00:00,1,2318.67,2298.82,19.84999999999991,2389.13,trailing_stop,False,3.5496221662468694,3.316003022670038,0.2336191435768272,5.747607052896759,True,5.747607052896759,5.513987909319932,5.747607052896759,False,2024-01-02 08:30:00+00:00,True,1005.0,1185.0,180.0,5.528463476070543,2.19798488664989,0.6175826102200013,0.6013801765987219,2024-01-02 00:00:00+00:00,1.4458438287153856,1.487153652392953,5.528463476070543,1.978710459497461,3.5496221662468694,240.0,495.0,510.0,555.0,990.0,,,,,
70430,70431,2024-01-07 07:15:00+00:00,70437,2024-01-07 08:45:00+00:00,1,2249.47,2239.56,9.909999999999854,2239.56,initial_stop,False,-1.0,-1.4539798183652932,0.4539798183652943,0.356205852674092,False,0.356205852674092,-0.09777396569120228,0.356205852674092,False,2024-01-07 08:30:00+00:00,True,75.0,90.0,15.0,0.11402623612513882,1.3562058526740919,-2.8073654390932843,,,,,-0.5136226034308542,2.0625596703751894,-1.0,,,,,,,,,,
70438,70439,2024-01-07 09:15:00+00:00,70456,2024-01-07 13:30:00+00:00,-1,2236.74,2254.07,17.330000000000382,2253.02,opposite_v6_next_open,True,-0.939411425274082,-1.1975464512405989,0.2581350259665263,0.3519907674552668,False,0.35199076745526686,0.09385574148874054,0.35199076745526686,False,2024-01-07 09:30:00+00:00,True,15.0,255.0,240.0,0.19215233698787385,1.2914021927293489,-2.668852459016466,-12.75943732631704,,,,0.11021350259664238,1.2406168857572433,-1.0,,,,,,,,,,
