month,n,wins,win_rate,sum_net_r,mean_net_r,mean_net_bp,pf_r,mean_win_r,mean_loss_r,gt5_final_net_r,gt10_final_net_r,event_ordered_max_drawdown_r,drawdown_basis,arm,period,matched_n,paired_target_win_rate,random_win_rate,random_mean_net_r,random_mean_net_bp,paired_excess_mean_r,paired_excess_mean_bp
2024-09,497,151,0.3038229376257545,-121.4195204677901,-0.2443048701565193,-26.67061940818963,0.6568356189936518,1.5390972357876127,-1.0226104135020797,6,1,128.34285045124938,exit_ordered_event_r_nonaccount,baseline,month,497,0.3038229376257545,0.2535211267605634,-0.3207684632533882,-32.95331744060943,0.07646359309686893,6.2826980324198125
2024-10,536,171,0.31902985074626866,8.769310109373048,0.016360653189128823,-7.346693498207481,1.0236375830166755,2.2208154672247313,-1.0164113281809755,14,3,166.19969870884944,exit_ordered_event_r_nonaccount,baseline,month,535,0.31962616822429907,0.25981308411214954,-0.11575799580258174,-13.08914667449651,0.13422070628739122,6.111477253897009
2024-11,819,335,0.409035409035409,498.1955245655478,0.6082973437918777,122.14075667247776,2.0375515943484603,2.9204779213053556,-0.9920755765945172,62,12,126.9396154888708,exit_ordered_event_r_nonaccount,baseline,month,819,0.409035409035409,0.3125763125763126,0.11053339229383341,28.549671755498846,0.49776395149804425,93.59108491697891
2024-12,673,249,0.3699851411589896,11.456790397844367,0.017023462701106044,10.095550653639867,1.028132473115121,1.6815306372457108,-0.9604819298970227,7,2,188.69631076062623,exit_ordered_event_r_nonaccount,baseline,month,673,0.3699851411589896,0.24071322436849926,-0.33666188244631085,-69.72818058082794,0.3536853451474169,79.82373123446783
2025-01,793,152,0.19167717528373265,-339.8403031490583,-0.4285501931261769,-137.55515681371915,0.47330591383797216,2.009161203355534,-1.0066034415898588,7,1,533.6848976335573,exit_ordered_event_r_nonaccount,baseline,month,793,0.19167717528373265,0.21311475409836064,-0.4274587225036188,-69.40297225513615,-0.0010914706225580786,-68.15218455858302
2025-02,707,206,0.2913719943422914,-203.2422533882019,-0.2874713626424355,-70.88688130811167,0.6076608489294032,1.5280810464841452,-1.0339859260757203,3,0,236.02803255561037,exit_ordered_event_r_nonaccount,baseline,month,707,0.2913719943422914,0.256011315417256,-0.33102348485588723,-73.8655974206325,0.043552122213451686,2.9787161125208335
2025-03,787,255,0.3240152477763659,-103.61790701164148,-0.13166188946841356,-33.07150126271487,0.810705202311305,1.740279148209355,-1.0289268605357649,11,3,187.37460542253342,exit_ordered_event_r_nonaccount,baseline,month,785,0.3248407643312102,0.2178343949044586,-0.40623066749470543,-61.319841669181216,0.2771169895900147,28.659890043224557
2025-04,1000,316,0.316,0.8222972153213348,0.0008222972153213348,-5.460554393791745,1.0011474249876795,2.2704684333994405,-1.0477276721328974,30,5,249.89853314028724,exit_ordered_event_r_nonaccount,baseline,month,998,0.3166332665330661,0.2875751503006012,0.0667152885679032,7.899701659288452,-0.06360023482232648,-13.041834667442373
2025-05,1069,253,0.23666978484565013,-159.39388042164623,-0.14910559440752688,-32.11898299214874,0.8089558637556112,2.6677322405949826,-1.022463403544334,28,13,334.7545455140406,exit_ordered_event_r_nonaccount,baseline,month,1069,0.23666978484565013,0.2768942937324602,0.11937964486058433,14.88754451643635,-0.26848523926811124,-47.00652750858508
2025-06,1156,498,0.43079584775086505,273.0533216606521,0.2362052955541973,33.91118894547098,1.3991297395592401,1.9220382248471108,-1.0396986539714426,22,4,318.91510324938355,exit_ordered_event_r_nonaccount,baseline,month,1156,0.43079584775086505,0.22577854671280276,-0.33178356243517826,-48.868002336524135,0.5679888579893756,82.77919128199512
