event_id,mother_decision_time,baseline_net_bp,baseline_exit_time,baseline_exit_reason,baseline_mfe_r,baseline_hold_minutes,candidate_net_bp,candidate_exit_time,candidate_exit_reason,candidate_mfe_r,candidate_hold_minutes,delta_net_bp,exit_delay_minutes,outcome_transition
2023-01-02T02:00:00+00:00_L,2023-01-02 03:00:00+00:00,-19.156041836210207,2023-01-02 03:15:00+00:00,colour_exit,0.214067278287457,15.0,44.80393043373444,2023-01-02 14:00:00+00:00,transition_colour_exit,5.547400611620716,660.0,63.95997226994465,645.0,loss_to_win
2023-01-06T00:00:00+00:00_L,2023-01-06 01:00:00+00:00,-40.164279571806,2023-01-06 02:00:00+00:00,hard_stop,0.04411764705882353,60.0,-40.164279571806,2023-01-06 02:00:00+00:00,hard_stop,0.04411764705882353,60.0,0.0,0.0,loss_to_loss
2023-01-08T14:00:00+00:00_L,2023-01-08 15:00:00+00:00,-33.97842486154377,2023-01-08 16:30:00+00:00,hard_stop,3.016877637130709,90.0,-33.97842486154377,2023-01-08 16:30:00+00:00,hard_stop,3.016877637130709,90.0,0.0,0.0,loss_to_loss
2023-01-08T20:00:00+00:00_L,2023-01-08 21:00:00+00:00,135.62849515907473,2023-01-09 14:15:00+00:00,colour_exit,7.439359267734397,1035.0,135.62849515907473,2023-01-09 14:15:00+00:00,transition_colour_exit,7.439359267734397,1035.0,0.0,0.0,win_to_win
2023-01-18T15:00:00+00:00_S,2023-01-18 16:00:00+00:00,80.1274176064515,2023-01-19 04:30:00+00:00,colour_exit,1.201974183750952,750.0,80.1274176064515,2023-01-19 04:30:00+00:00,transition_colour_exit,1.201974183750952,750.0,0.0,0.0,win_to_win
2023-01-23T10:00:00+00:00_L,2023-01-23 11:00:00+00:00,-82.063276609301,2023-01-23 13:55:00+00:00,hard_stop,0.4922644163150593,175.0,-82.063276609301,2023-01-23 13:55:00+00:00,hard_stop,0.4922644163150593,175.0,0.0,0.0,loss_to_loss
2023-01-23T20:00:00+00:00_L,2023-01-23 21:00:00+00:00,-67.6804627349825,2023-01-24 09:15:00+00:00,colour_exit,0.5308873081242982,735.0,-67.6804627349825,2023-01-24 09:15:00+00:00,transition_colour_exit,0.5308873081242982,735.0,0.0,0.0,loss_to_loss
2023-01-25T20:00:00+00:00_L,2023-01-25 21:00:00+00:00,72.94498720480604,2023-01-26 06:15:00+00:00,colour_exit,4.812802582033411,555.0,72.94498720480604,2023-01-26 06:15:00+00:00,transition_colour_exit,4.812802582033411,555.0,0.0,0.0,win_to_win
2023-01-27T16:00:00+00:00_L,2023-01-27 17:00:00+00:00,-67.76271655313136,2023-01-27 22:15:00+00:00,colour_exit,1.838374291115293,315.0,-67.76271655313136,2023-01-27 22:15:00+00:00,transition_colour_exit,1.838374291115293,315.0,0.0,0.0,loss_to_loss
2023-01-28T20:00:00+00:00_S,2023-01-28 21:00:00+00:00,-31.843698020534976,2023-01-28 21:30:00+00:00,colour_exit,0.3417085427135676,30.0,-31.843698020534976,2023-01-28 21:30:00+00:00,transition_colour_exit,0.3417085427135676,30.0,0.0,0.0,loss_to_loss
2023-01-30T09:00:00+00:00_S,2023-01-30 10:00:00+00:00,112.9694351385946,2023-01-31 02:30:00+00:00,colour_exit,2.0358134369794496,990.0,112.9694351385946,2023-01-31 02:30:00+00:00,transition_colour_exit,2.0358134369794496,990.0,0.0,0.0,win_to_win
2023-02-05T11:00:00+00:00_S,2023-02-05 12:00:00+00:00,138.97209746406736,2023-02-05 23:00:00+00:00,colour_exit,12.98286937901477,660.0,138.97209746406736,2023-02-05 23:00:00+00:00,transition_colour_exit,12.98286937901477,660.0,0.0,0.0,win_to_win
2023-02-07T09:00:00+00:00_L,2023-02-07 10:00:00+00:00,-48.37292362773858,2023-02-07 15:15:00+00:00,colour_exit,0.37490829053556457,315.0,-48.37292362773858,2023-02-07 15:15:00+00:00,transition_colour_exit,0.37490829053556457,315.0,0.0,0.0,loss_to_loss
