arm,fold,month,n,known,mean_net_bp
baseline,2023H1,2023-01,11,11,-8.780391949524384
baseline,2023H1,2023-02,12,12,-38.63718485227938
baseline,2023H1,2023-03,5,5,-35.58249874595719
baseline,2023H1,2023-04,12,12,-3.4412047850277614
baseline,2023H1,2023-05,6,6,25.42473264028383
baseline,2023H1,2023-06,9,9,1.2961624463415902
baseline,2023H2,2023-07,14,14,-24.755460787473837
baseline,2023H2,2023-08,10,10,0.058988081550376964
baseline,2023H2,2023-09,11,11,-33.64288548773221
baseline,2023H2,2023-10,9,9,-42.79242832810545
baseline,2023H2,2023-11,10,10,-23.5647141507722
baseline,2023H2,2023-12,12,12,-24.706584422221983
baseline,2024H1,2024-01,10,10,-5.67242626627716
baseline,2024H1,2024-02,9,9,-29.37693258443025
baseline,2024H1,2024-03,10,10,26.102387617223062
baseline,2024H1,2024-04,9,9,-34.35669444642216
baseline,2024H1,2024-05,11,11,-28.367595145853546
baseline,2024H1,2024-06,6,6,17.461570703034567
baseline,2024H2,2024-07,10,10,-18.176990371350886
baseline,2024H2,2024-08,12,12,19.60638832666183
baseline,2024H2,2024-09,9,9,-0.8058831580024173
baseline,2024H2,2024-10,16,16,-42.19102649365201
baseline,2024H2,2024-11,16,16,-12.114217879912585
baseline,2024H2,2024-12,12,12,4.731883274967386
candidate,2023H1,2023-01,11,11,11.18012792648743
candidate,2023H1,2023-02,12,12,-44.75109676032835
candidate,2023H1,2023-03,5,5,-50.37623492641785
candidate,2023H1,2023-04,12,12,-10.51468148890121
candidate,2023H1,2023-05,6,6,45.97245266200924
candidate,2023H1,2023-06,9,9,-23.113631709981014
candidate,2023H2,2023-07,14,14,-1.8476771237337135
candidate,2023H2,2023-08,10,10,-21.63633827871324
candidate,2023H2,2023-09,11,11,-33.579758539536066
candidate,2023H2,2023-10,9,9,-54.6673202243729
candidate,2023H2,2023-11,10,10,-11.516139545264853
candidate,2023H2,2023-12,12,12,1.7238371994552901
candidate,2024H1,2024-01,10,10,-6.733009295990282
candidate,2024H1,2024-02,9,9,-55.144400163877755
candidate,2024H1,2024-03,10,10,8.170417069938498
candidate,2024H1,2024-04,9,9,-67.45039029743907
candidate,2024H1,2024-05,11,11,-34.28238467296027
candidate,2024H1,2024-06,6,6,-49.00713529686664
candidate,2024H2,2024-07,10,10,-13.854753058753602
candidate,2024H2,2024-08,12,12,44.86836211528668
candidate,2024H2,2024-09,9,9,9.349215429707147
candidate,2024H2,2024-10,16,16,-40.991747335485854
candidate,2024H2,2024-11,16,16,-25.65317724018383
candidate,2024H2,2024-12,12,12,6.878760719760689
