event_id,mother_decision_time,baseline_net_bp,baseline_exit_time,baseline_exit_reason,baseline_mfe_r,baseline_hold_minutes,candidate_net_bp,candidate_exit_time,candidate_exit_reason,candidate_mfe_r,candidate_hold_minutes,delta_net_bp,exit_delay_minutes,outcome_transition
2023-01-02T02:00:00+00:00_L::control0,2023-01-08 05:00:00+00:00,-21.94825896494222,2023-01-08 10:00:00+00:00,colour_exit,1.2280640696979332,300.0,-21.94825896494222,2023-01-08 10:00:00+00:00,transition_colour_exit,1.2280640696979332,300.0,0.0,0.0,loss_to_loss
2023-01-02T02:00:00+00:00_L::control1,2023-01-03 05:00:00+00:00,-14.726370544382288,2023-01-03 05:15:00+00:00,colour_exit,0.20506630681355226,15.0,-6.036867464103128,2023-01-03 13:00:00+00:00,transition_colour_exit,2.0783124578179257,480.0,8.68950308027916,465.0,loss_to_loss
2023-01-02T02:00:00+00:00_L::control2,2023-01-08 04:00:00+00:00,-27.080941057066028,2023-01-08 10:00:00+00:00,colour_exit,0.8295022219136036,360.0,-27.080941057066028,2023-01-08 10:00:00+00:00,transition_colour_exit,0.8295022219136036,360.0,0.0,0.0,loss_to_loss
2023-01-23T20:00:00+00:00_L::control0,2023-01-16 20:00:00+00:00,-125.00938150581062,2023-01-16 21:20:00+00:00,hard_stop,0.8115904030331593,80.0,-125.00938150581062,2023-01-16 21:20:00+00:00,hard_stop,0.8115904030331593,80.0,0.0,0.0,loss_to_loss
2023-01-23T20:00:00+00:00_L::control1,2023-01-14 21:00:00+00:00,-132.48970838838136,2023-01-15 00:45:00+00:00,colour_exit,0.6372823297488089,225.0,-132.48970838838136,2023-01-15 00:45:00+00:00,transition_colour_exit,0.6372823297488089,225.0,0.0,0.0,loss_to_loss
2023-01-23T20:00:00+00:00_L::control2,2023-01-15 18:00:00+00:00,-116.02211591121623,2023-01-15 18:05:00+00:00,hard_stop,0.0,5.0,-116.02211591121623,2023-01-15 18:05:00+00:00,hard_stop,0.0,5.0,0.0,0.0,loss_to_loss
2023-01-25T20:00:00+00:00_L::control0,2023-01-31 19:00:00+00:00,-87.50198501869531,2023-01-31 21:20:00+00:00,hard_stop,0.13107184377438133,140.0,-87.50198501869531,2023-01-31 21:20:00+00:00,hard_stop,0.13107184377438133,140.0,0.0,0.0,loss_to_loss
2023-01-25T20:00:00+00:00_L::control1,2023-01-27 19:00:00+00:00,-102.17298758988245,2023-01-27 22:10:00+00:00,hard_stop,1.795322115399108,190.0,-102.17298758988245,2023-01-27 22:10:00+00:00,hard_stop,1.795322115399108,190.0,0.0,0.0,loss_to_loss
2023-01-25T20:00:00+00:00_L::control2,2023-01-06 19:00:00+00:00,32.28238421914888,2023-01-07 05:00:00+00:00,colour_exit,3.42682134116847,600.0,32.28238421914888,2023-01-07 05:00:00+00:00,transition_colour_exit,3.42682134116847,600.0,0.0,0.0,win_to_win
2023-02-05T11:00:00+00:00_S::control0,2023-02-25 16:00:00+00:00,-51.426994179704074,2023-02-25 16:15:00+00:00,colour_exit,0.007142139594195597,15.0,-51.426994179704074,2023-02-25 16:15:00+00:00,transition_colour_exit,0.007142139594195597,15.0,0.0,0.0,loss_to_loss
2023-02-05T11:00:00+00:00_S::control1,2023-02-09 15:00:00+00:00,-14.31680507522513,2023-02-09 15:15:00+00:00,colour_exit,0.2536697118243754,15.0,352.13912813622073,2023-02-10 06:45:00+00:00,transition_colour_exit,12.485161998337889,945.0,366.4559332114459,930.0,loss_to_win
2023-02-05T11:00:00+00:00_S::control2,2023-02-13 14:00:00+00:00,-56.50916817645511,2023-02-13 14:40:00+00:00,hard_stop,0.17646314129487556,40.0,-56.50916817645511,2023-02-13 14:40:00+00:00,hard_stop,0.17646314129487556,40.0,0.0,0.0,loss_to_loss
2023-02-14T08:00:00+00:00_S::control0,2023-02-06 10:00:00+00:00,-27.442039644183218,2023-02-06 12:15:00+00:00,colour_exit,1.1700678250890075,135.0,-27.442039644183218,2023-02-06 12:15:00+00:00,transition_colour_exit,1.1700678250890075,135.0,0.0,0.0,loss_to_loss
2023-02-14T08:00:00+00:00_S::control1,2023-02-11 11:00:00+00:00,-23.553102735427416,2023-02-11 11:30:00+00:00,colour_exit,0.05478343223018535,30.0,-23.553102735427416,2023-02-11 11:30:00+00:00,transition_colour_exit,0.05478343223018535,30.0,0.0,0.0,loss_to_loss
2023-02-14T08:00:00+00:00_S::control2,2023-02-11 06:00:00+00:00,-16.586133242297834,2023-02-11 06:15:00+00:00,colour_exit,0.25310935260093576,15.0,-21.199466698653673,2023-02-11 11:30:00+00:00,transition_colour_exit,0.359112414801369,330.0,-4.613333456355839,315.0,loss_to_loss
2023-02-23T02:00:00+00:00_L::control0,2023-02-23 05:00:00+00:00,-115.18022665454207,2023-02-23 10:00:00+00:00,colour_exit,0.000288499301852999,300.0,-115.18022665454207,2023-02-23 10:00:00+00:00,transition_colour_exit,0.000288499301852999,300.0,0.0,0.0,loss_to_loss
