symbol,minutes,fold,policy,feature,group,n,mean_net_bp,median_net_bp,win_pct,pf,p90_net_bp,best_net_bp,worst_net_bp,top_realized_decile_sum_bp,rest_realized_mean_bp,top5_positive_share_pct,matched_n,controls_mean_net_bp,excess_bp,p,ci_low,ci_high,months,matched_case_mean_net_bp
BTC,15,discovery,cross_signal,side,long,1889,-11.750185511464734,-37.255597674307175,25.622022233986236,0.7435598184449325,103.04695744265318,984.9674222820704,-494.247901850301,52748.39299030155,-44.084996130269666,6.544563334745767,1889,-12.138773907004564,0.38858839553983265,0.44425,-6.900361330342676,7.435092888567629,24,-11.750185511464734
BTC,15,discovery,cross_signal,side,short,1874,-25.002806473500293,-40.36702906703436,23.319103521878333,0.5010651720154297,88.62509794477793,927.2064638129618,-673.9866581956777,38346.4183531575,-50.53480289709197,6.716431505818093,1874,-26.420072405024467,1.4172659315241745,0.359,-5.0089982413732494,8.183211544851456,24,-25.002806473500293
BTC,15,discovery,cross_signal,zero_before,0,3066,-19.1784006478414,-39.520194047128456,24.722765818656228,0.6114825253091004,98.6563304255428,984.9674222820704,-673.9866581956777,75268.89624206361,-48.593647201285,4.752693333785441,3066,-19.556520872643496,0.37812022480209784,0.432,-4.11991812224117,4.484986005126492,24,-19.1784006478414
BTC,15,discovery,cross_signal,zero_before,1,8,-33.31114840327122,-37.94009125690721,12.5,0.2622432864269753,12.351593729065245,94.7263494451778,-107.68708281431614,94.7263494451778,-51.60221952447822,100.0,8,-40.96817469007861,7.657026286807394,0.40625,-44.52253118465704,71.26012751375765,8,-33.31114840327122
BTC,15,discovery,cross_signal,zero_before,2_to_8,69,-7.956499023554142,-38.218052983332015,27.536231884057973,0.8252605485609136,78.16669491945487,740.7637189878469,-236.67020444112285,2215.632088478946,-44.59081485651906,78.04351507628071,69,-11.11039533837395,3.153896314819791,0.449,-47.472990289432595,49.15903745607261,24,-7.95649902355414
BTC,15,discovery,cross_signal,zero_before,9_plus,620,-15.21757380058596,-34.804338797334005,23.06451612903226,0.6316678866301307,81.26185404304246,696.0464508774833,-272.1518025456282,13556.366097551938,-41.20297823282299,17.987165479899307,620,-18.365651493474324,3.1480776928883647,0.3005,-8.80247359887082,13.748430372256644,24,-15.21757380058596
BTC,15,discovery,cross_signal,breakout,yes,341,-10.25732325388714,-41.63466140797654,31.964809384164223,0.8148218238456425,149.75882816297138,740.7637189878469,-494.247901850301,11105.334780228844,-47.72249022811882,21.460839885697013,341,-18.18889114247245,7.931567888585308,0.1835,-7.638690718246076,25.099768984272817,24,-10.25732325388714
BTC,15,discovery,cross_signal,breakout,no,3422,-19.156520319380743,-38.517655714797016,23.728813559322035,0.5942880120027882,88.55228452016344,984.9674222820704,-673.9866581956777,79757.7051074061,-47.19432206571193,4.580596787498682,3422,-19.356793605425008,0.20027328604425865,0.454,-4.016224026465866,4.287664667663402,24,-19.156520319380746
BTC,15,discovery,cross_signal,trend_aligned,yes,1675,-16.317766682669827,-36.49224326775833,21.671641791044777,0.6226703874696929,70.662230274297,984.9674222820704,-494.247901850301,39755.52608244815,-44.51744212071674,9.53321533292154,1675,-17.929595360727294,1.611828678057467,0.305,-4.860168969371262,8.174298875084911,24,-16.317766682669827
BTC,15,discovery,cross_signal,trend_aligned,no,2088,-19.98041214991593,-41.130000220521694,26.72413793103448,0.6138165887761555,106.91231574664184,799.6129637377636,-673.9866581956777,50909.552166480935,-49.29678165806568,5.362409852247088,2088,-20.310961383203665,0.33054923328773295,0.464,-5.224429511187989,5.0171235658738125,24,-19.98041214991593
BTC,15,discovery,departure_signal,side,long,559,-9.14771372471521,-34.81916994557797,27.01252236135957,0.78226307892412,98.16912752291258,740.7637189878469,-383.6750847427539,14827.826517243077,-39.64492741423237,17.761836925526094,559,-12.241723595942966,3.094009871227756,0.304,-8.358818182831104,15.162379674160984,24,-9.147713724715212
BTC,15,discovery,departure_signal,side,short,532,-25.882092163279093,-37.690048771618066,21.804511278195488,0.4534461908191289,81.72534046575198,470.4740542397112,-485.589860569422,9354.466415502297,-48.376023946374005,16.771814861988812,532,-27.931245245057873,2.0491530817787775,0.37075,-8.625391592739234,13.885133655862287,24,-25.882092163279093
BTC,15,discovery,departure_signal,zero_before,1,25,12.525719831638924,-24.00071939541391,36.0,1.430112595762954,104.39046032470992,364.2480193008768,-99.18556410048129,791.3023499772698,-21.734516099377128,92.72805112278468,25,-18.111073432988256,30.636793264627176,0.081,-4.345399091524403,68.30822534712615,13,12.525719831638925
BTC,15,discovery,departure_signal,zero_before,2_to_8,446,-21.88585704575775,-37.86001740712084,25.784753363228702,0.5629639656810868,93.00444478574312,740.7637189878469,-485.589860569422,9860.037702254896,-48.93049861511935,19.55465354350881,446,-19.51510516693858,-2.3707518788191684,0.6765,-13.296065299141711,8.916929696862384,24,-21.88585704575775
